City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Meriden,Connecticut,59512,2508,New Haven-Milford,851948,84,37,47,51,111,202,35,59.9,40,7,18,35,41,21.78%,$58472,10.86%,$1041,853,$225000,1573,$143,61,62.03%,3%,7%,-9%,56,22 mins,7.0%,N/A,-0.40%,New Haven County,54.20%,42.00%,2.1%,8.98%,53.47%,33.41%,10.84%,Eastern Standard Time,7,3.5,57.40%,40,23,33,19.7%,0.16,N/A,1,12,264,1717,CT-46450,23.73,64.93%
Middlebury,Connecticut,7658,431,New Haven-Milford,851948,84,35,49,52,122,206,38,N/A,N/A,N/A,8,17,N/A,51.16%,$95320,N/A,N/A,N/A,$292100,N/A,N/A,50,83.00%,2%,8%,-8%,72,29 mins,3.90%,N/A,3.60%,New Haven County,54.20%,42.00%,5.6%,1.0%,86.6%,5.3%,N/A,Eastern Standard Time,7,3.5,42.00%,29,N/A,42,N/A,0.00,N/A,1,5,25,825,CT-46940,17.77,N/A
Milford,Connecticut,53867,2429,New Haven-Milford,851948,82,38,44,46,110,204,29,N/A,N/A,11,7,36,N/A,43.00%,$80743,3.1%,$1700,823,$399000,1765,$226,54,68.50%,2%,9%,-6%,62,28 mins,3.20%,N/A,2.10%,New Haven County,54.20%,42.00%,5.2%,2.9%,83.6%,6.7%,11.3%,Eastern Standard Time,7,3.5,47.30%,31,N/A,37,21.8%,0.00,N/A,1,6,52,1872,CT-47500,22.18,N/A
Naugatuck,Connecticut,31201,1914,New Haven-Milford,851948,84,37,47,52,114,204,34,59.9,40,8,9,24,40,30.06%,$77967,6.59%,$1099,869,$249900,1747,$143,51,70.53%,2%,8%,-8%,67,30 mins,6.41%,N/A,-0.30%,New Haven County,54.20%,42.00%,2.38%,8.62%,72.16%,12.62%,14.02%,Eastern Standard Time,7,3.5,50.60%,30,N/A,21,20.0%,0.00,N/A,1,6,96,1412,CT-49880,16.3,70.94%
Naugatuck borough,Connecticut,31201,1914,New Haven-Milford,851948,84,37,47,52,114,207,34,N/A,N/A,N/A,7,28,40,30.06%,$77967,6.59%,$1099,N/A,$170500,N/A,N/A,51,70.53%,2%,8%,-8%,67,30 mins,6.41%,N/A,-0.30%,New Haven County,54.20%,42.00%,2.38%,8.62%,72.16%,12.62%,14.02%,Eastern Standard Time,7,3.5,50.60%,63,N/A,33,N/A,N/A,N/A,1,N/A,N/A,N/A,CT-49880,16.3,70.94%
New Haven,Connecticut,130381,6976,New Haven-Milford,851948,83,38,45,48,108,204,29,59.9,40,8,51,59,31,35.24%,$44507,25.18%,$1219,776,$285000,1912,$149,77,30.56%,3%,10%,-9%,43,22 mins,8.56%,N/A,1.60%,New Haven County,54.20%,42.00%,5.22%,33.56%,29.06%,30.82%,17.41%,Eastern Standard Time,7,3.5,71.50%,68,48,68,24.8%,0.31,27,1,10,895,3799,CT-52000,18.69,65.13%
North Branford,Connecticut,14275,577,New Haven-Milford,851948,84,37,47,48,111,205,33,N/A,N/A,8,6,20,N/A,34.01%,$87408,N/A,$1776,1088,$261700,N/A,N/A,47,78.10%,2%,7%,-5%,69,23 mins,3.00%,N/A,-0.40%,New Haven County,54.20%,42.00%,1.7%,3.1%,89.0%,4.8%,N/A,Eastern Standard Time,7,3.5,39.90%,39,N/A,15,N/A,0.00,29,1,12,56,700,CT-53890,24.74,N/A
North Haven,Connecticut,23665,1136,New Haven-Milford,851948,84,37,47,48,108,204,31,59.9,40,8,10,33,46,45.78%,$104812,4.51%,$1383,902,$349000,1866,$187,52,87.78%,2%,8%,-8%,63,21 mins,4.4%,N/A,-0.20%,New Haven County,54.20%,42.00%,5.16%,5.31%,82.83%,5.35%,6.9%,Eastern Standard Time,7,3.5,42.00%,18,N/A,29,21.1%,0.00,27,1,12,46,1526,CT-54940,20.84,67.53%
Orange,Connecticut,13928,811,New Haven-Milford,851948,83,38,45,50,114,204,29,N/A,N/A,8,8,37,45,60.44%,$129489,1.83%,$1543,1046,$367800,N/A,N/A,54,93.06%,2%,6%,-5%,66,26 mins,4.0%,N/A,1.10%,New Haven County,54.20%,42.00%,10.36%,6.07%,78.74%,2.36%,13.45%,Eastern Standard Time,7,3.5,38.10%,22,N/A,36,20.6%,0.00,25,1,5,28,2652,CT-57670,17.18,65.71%
Oxford,Connecticut,12972,396,New Haven-Milford,851948,84,35,49,52,126,206,46,N/A,N/A,8,5,15,N/A,N/A,$98504,N/A,N/A,N/A,$353400,N/A,N/A,35,90.10%,1%,6%,-8%,71,31 mins,3.20%,N/A,6.40%,New Haven County,54.20%,42.00%,0.7%,3.2%,89.9%,4.9%,N/A,Eastern Standard Time,7,3.5,35.90%,28,N/A,32,N/A,0.00,25,1,5,N/A,N/A,CT-58300,32.76,N/A
Prospect,Connecticut,9748,684,New Haven-Milford,851948,81,33,48,52,123,204,44,N/A,N/A,7,6,13,N/A,36.93%,$100592,N/A,N/A,N/A,$271700,N/A,N/A,37,79.90%,2%,8%,-8%,69,25 mins,3.90%,N/A,5.00%,New Haven County,54.20%,42.00%,0.3%,4.4%,89.7%,4.2%,N/A,Eastern Standard Time,7,3.5,46.60%,40,N/A,35,N/A,0.00,26,1,10,N/A,N/A,CT-62290,14.25,N/A
Seymour,Connecticut,16579,1142,New Haven-Milford,851948,84,37,47,52,114,206,37,N/A,N/A,8,10,22,N/A,28.25%,$77465,N/A,$1221,740,$239800,N/A,N/A,53,67.10%,1%,9%,-10%,65,27 mins,3.50%,N/A,1.30%,New Haven County,54.20%,42.00%,2.7%,2.0%,77.6%,16.8%,N/A,Eastern Standard Time,7,3.5,49.20%,65,N/A,31,N/A,0.00,25,1,4,54,630,CT-67610,14.52,N/A
Southbury,Connecticut,19675,505,New Haven-Milford,851948,85,36,49,50,119,206,40,N/A,N/A,8,6,19,N/A,50.16%,$76896,N/A,N/A,N/A,$319000,1876,$170,40,77.50%,2%,8%,-8%,72,32 mins,3.00%,N/A,-0.10%,New Haven County,54.20%,42.00%,3.5%,1.2%,88.4%,5.4%,N/A,Eastern Standard Time,7,3.5,44.70%,55,N/A,38,N/A,0.00,25,1,6,N/A,N/A,CT-69640,38.96,N/A
Wallingford,Connecticut,44991,1152,New Haven-Milford,851948,84,37,47,49,108,202,34,N/A,N/A,8,9,22,N/A,34.74%,$75533,N/A,$1191,687,$290000,1638,$177,50,67.60%,1%,8%,-6%,62,23 mins,3.00%,N/A,0.50%,New Haven County,54.20%,42.00%,3.8%,1.6%,85.0%,8.0%,N/A,Eastern Standard Time,7,3.5,47.90%,84,N/A,51,N/A,0.00,29,1,12,38,654,CT-78740,39.05,N/A
Waterbury,Connecticut,107841,3781,New Haven-Milford,851948,84,36,48,52,117,203,37,59.9,40,7,27,57,36,17.13%,$46329,21.3%,$986,856,$189900,1742,$109,61,47.19%,3%,9%,-13%,64,24 mins,9.34%,N/A,-0.60%,New Haven County,54.20%,42.00%,1.73%,21.56%,38.93%,36.65%,16.83%,Eastern Standard Time,7,3.5,62.60%,48,34,29,24.1%,0.00,25,1,7,301,3026,CT-80000,28.52,61.78%
West Haven,Connecticut,54666,5085,New Haven-Milford,851948,83,38,45,48,108,208,29,59.9,40,8,17,33,35,25.07%,$64255,11.07%,$1164,823,$269000,1630,$165,60,55.06%,2%,10%,-9%,62,22 mins,8.0%,N/A,-0.10%,New Haven County,54.20%,42.00%,3.99%,19.28%,48.21%,26.82%,19.62%,Eastern Standard Time,7,3.5,63.70%,48,N/A,41,24.7%,0.00,28,1,7,155,1991,CT-82800,10.75,67.28%
Wolcott,Connecticut,16696,817,New Haven-Milford,851948,83,34,49,52,132,194,47,N/A,N/A,7,8,26,N/A,28.93%,$83317,N/A,N/A,N/A,$214900,N/A,N/A,50,81.20%,2%,8%,-8%,72,23 mins,3.10%,N/A,1.50%,New Haven County,54.20%,42.00%,1.4%,2.3%,91.4%,4.2%,N/A,Eastern Standard Time,7,3.5,46.30%,20,N/A,26,N/A,0.00,25,1,10,42,1171,CT-87560,20.44,N/A
Woodbridge,Connecticut,8907,473,New Haven-Milford,851948,83,38,45,52,114,206,37,N/A,N/A,8,8,21,N/A,68.04%,$134045,N/A,N/A,N/A,$395900,N/A,N/A,51,82.10%,1%,6%,-10%,67,28 mins,3.90%,N/A,-1.10%,New Haven County,54.20%,42.00%,14.9%,2.3%,76.6%,4.7%,N/A,Eastern Standard Time,7,3.5,38.00%,5,N/A,N/A,N/A,0.00,26,1,7,68,1013,CT-87700,18.83,N/A
Woodmont,Connecticut,1601,5718,New Haven-Milford,851948,82,38,44,46,110,203,29,59.9,40,N/A,7,15,53,61.58%,$87361,4.62%,$1629,854,$340600,N/A,N/A,76,80.64%,4%,13%,-4%,45,27 mins,3.25%,N/A,-11.40%,New Haven County,54.20%,42.00%,0.37%,0.87%,92.38%,5.12%,6.12%,Eastern Standard Time,7,3.5,54.10%,58,N/A,N/A,25.0%,0.00,30,1,4,N/A,N/A,CT-88050,0.28,71.0%
