Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Minneapolis-St. Paul-Bloomington,Minnesota,3659156,2857,$90665,43%,37,$384569,1966,$195,41,74%,$1283,48%,280,2491,7%,3%,71%,50%,40%,6%,9%,74%,6%,10%,Central Standard Time,83,23,60,63,7,63%,60%,33,57,87,50%,60%,45%,32,13.33,3.18,29%,33%,25%,50,28,8,39,48,3,44.996108904484245,-93.30099506492708
San Diego-Carlsbad,California,3296317,4388,$89771,40%,36,$890083,1550,$579,41,54%,$1864,50%,339,1727,10%,6%,66%,56%,36%,12%,5%,43%,33%,23%,Pacific Standard Time,82,66,15,65,45,63%,67%,52,59,88,69%,66%,74%,10,0.16,6.36,12%,1%,22%,1,0,6,3,59,5,32.86810254475426,-117.11256725577988
Tampa-St. Petersburg-Clearwater,Florida,3146074,3176,$64180,33%,42,$377416,1572,$243,34,64%,$1297,52%,415,2406,13%,5%,61%,46%,48%,3%,13%,59%,21%,14%,Eastern Standard Time,91,71,20,76,51,58%,62%,62,72,107,69%,67%,65%,54,27.5,7.26,30%,54%,22%,0,0,6,82,60,6,28.01254507155517,-82.52702289099066
Denver-Aurora-Lakewood,Colorado,2936665,3632,$87980,45%,36,$574478,1999,$295,38,66%,$1586,50%,542,3317,8%,4%,71%,55%,36%,4%,5%,61%,24%,12%,Mountain Standard Time,89,44,44,59,17,42%,36%,28,46,88,69%,71%,70%,16,5.13,2.15,23%,28%,17%,56,26,8,41,47,5,39.7217970626311,-104.92217925993657
Baltimore-Columbia-Towson,Maryland,2837237,4185,$87685,41%,38,$361447,1768,$200,48,66%,$1460,53%,1583,3837,10%,5%,66%,58%,34%,5%,32%,51%,6%,11%,Eastern Standard Time,88,43,45,71,27,53%,53%,43,63,93,55%,61%,52%,48,14.5,9.99,34%,35%,35%,22,7,7,26,50,4,39.2785975924752,-76.62228416853944
St. Louis,Missouri,2815627,2528,$70987,35%,38,$256441,1711,$145,46,68%,$987,53%,709,2983,12%,5%,65%,48%,45%,2%,21%,68%,3%,4%,Central Standard Time,89,41,47,69,23,58%,55%,43,64,95,57%,67%,48%,45,12.94,7.89,31%,30%,28%,16,10,6,46,49,4,38.679535209671236,-90.28868590212139
Orlando-Kissimmee-Sanford,Florida,2632721,2938,$67838,34%,37,$396256,1772,$221,27,59%,$1403,52%,447,3031,13%,5%,65%,54%,40%,4%,17%,42%,32%,19%,Eastern Standard Time,92,71,21,73,49,55%,59%,61,71,106,68%,66%,64%,51,23.55,6.82,33%,55%,23%,0,0,7,81,52,6,28.52194263364862,-81.41972788423107
Charlotte-Concord-Gastonia,North Carolina,2625282,2125,$73680,41%,36,$397113,1880,$210,28,63%,$1208,50%,306,2537,10%,5%,69%,50%,45%,4%,26%,53%,11%,12%,Eastern Standard Time,90,52,38,69,31,51%,54%,47,66,98,64%,67%,57%,44,11.64,10.68,30%,32%,32%,3,0,6,38,47,4,35.22895162868027,-80.83621848331848
San Antonio-New Braunfels,Texas,2529453,2555,$63299,29%,35,$307040,1796,$169,33,62%,$1146,52%,602,3774,15%,5%,64%,49%,45%,2%,6%,30%,58%,12%,Central Standard Time,96,63,32,74,38,55%,52%,55,68,108,57%,69%,51%,32,7.39,5.5,21%,16%,23%,0,0,8,36,59,6,29.493930528531255,-98.4779392244037
Portland-Vancouver-Hillsboro,Oregon,2493429,4238,$84343,41%,38,$556516,1834,$302,39,63%,$1458,50%,382,3427,10%,5%,67%,58%,30%,7%,3%,70%,12%,13%,Pacific Standard Time,81,45,36,56,35,59%,45%,43,51,81,50%,67%,30%,44,2.75,17.33,44%,18%,61%,4,1,7,6,34,2,45.523143055449545,-122.68588618562258
Sacramento--Roseville--Arden-Arcade,California,2379368,4278,$83719,35%,37,$553297,1681,$327,37,60%,$1556,49%,370,2431,12%,6%,62%,54%,36%,14%,7%,48%,22%,19%,Pacific Standard Time,94,56,37,61,38,44%,29%,45,51,92,77%,95%,51%,20,0.22,10.6,16%,1%,30%,1,0,6,4,35,5,38.62274482423762,-121.34693851651481
Pittsburgh,Pennsylvania,2366544,4642,$63097,36%,41,$227728,1552,$149,65,66%,$917,55%,250,1237,13%,5%,63%,44%,50%,2%,12%,79%,2%,4%,Eastern Standard Time,83,37,46,63,20,57%,54%,39,58,85,42%,52%,29%,45,13.79,10.02,43%,41%,49%,40,30,7,34,56,3,40.436647201152006,-79.9282471341751
Cincinnati,Ohio,2244329,2703,$66949,36%,36,$276810,1724,$159,51,63%,$950,54%,321,2560,15%,5%,65%,40%,54%,2%,15%,74%,3%,5%,Eastern Standard Time,86,39,46,65,22,59%,55%,41,61,91,53%,65%,41%,45,12.24,10.02,36%,34%,37%,23,19,8,38,51,3,39.208678015171074,-84.46416430173025
Austin-Round Rock,Texas,2234300,2540,$83708,48%,35,$528775,1844,$287,25,57%,$1432,51%,299,2797,10%,4%,71%,57%,35%,6%,7%,50%,32%,15%,Central Standard Time,98,62,36,74,39,55%,51%,55,68,114,58%,69%,52%,35,7.44,6.26,22%,17%,24%,0,0,6,41,61,6,30.33412659835732,-97.74508358853531
Las Vegas-Henderson-Paradise,Nevada,2231147,4161,$64775,25%,37,$395872,1696,$232,24,55%,$1289,53%,464,1825,13%,7%,64%,52%,41%,10%,11%,40%,31%,22%,Pacific Standard Time,104,56,48,81,38,20%,14%,29,39,101,84%,90%,77%,5,1.05,1.71,6%,4%,10%,0,0,N/A,13,50,5,36.149055628497976,-115.15366610047245
Kansas City,Missouri,2176124,1710,$75627,38%,36,$316039,1904,$162,42,67%,$1071,49%,650,2796,10%,4%,68%,47%,44%,3%,12%,69%,9%,7%,Central Standard Time,88,40,48,69,21,59%,58%,42,64,96,61%,69%,54%,39,14.18,4.19,25%,29%,17%,17,9,8,51,55,4,39.01819586449837,-94.59483672002433
Columbus,Ohio,2122480,14620,$71372,39%,35,$297489,1692,$172,40,57%,$1087,54%,352,2839,14%,4%,69%,50%,42%,5%,20%,64%,5%,10%,Eastern Standard Time,85,37,47,64,21,58%,55%,41,61,88,45%,54%,35%,43,12.97,8.84,39%,37%,41%,25,19,7,38,55,5,39.994196269339454,-82.94384783968805
Indianapolis-Carmel-Anderson,Indiana,2089990,10295,$68997,37%,35,$267758,1916,$136,39,65%,$1027,51%,204,1746,12%,4%,67%,44%,48%,3%,16%,68%,7%,7%,Eastern Standard Time,85,36,48,65,20,60%,57%,42,63,88,51%,64%,41%,46,13.56,9.59,35%,33%,37%,23,17,8,41,62,3,39.809720262328085,-86.12581945458491
Cleveland-Elyria,Ohio,2084462,3218,$61803,31%,40,$218398,1598,$131,51,64%,$929,57%,572,2274,15%,7%,62%,55%,39%,2%,23%,64%,6%,6%,Eastern Standard Time,82,35,46,66,22,60%,56%,39,58,84,47%,64%,31%,42,12.3,8.39,43%,37%,48%,57,40,8,33,63,3,41.454398123514295,-81.70662745450494
San Jose-Sunnyvale-Santa Clara,California,1995351,5619,$141504,53%,37,$1608522,1722,$923,45,57%,$2521,45%,311,2389,6%,4%,67%,72%,20%,37%,2%,29%,25%,39%,Pacific Standard Time,81,59,21,57,41,67%,65%,46,51,84,67%,69%,59%,16,0.13,9.36,15%,1%,30%,0,0,7,2,49,5,37.27357677477555,-121.93421505803337
Nashville-Davidson--Murfreesboro--Franklin,Tennessee,1960999,1447,$81241,38%,36,$475113,1903,$243,25,68%,$1326,46%,315,1949,9%,3%,68%,42%,51%,3%,11%,74%,7%,7%,Central Standard Time,89,48,41,67,27,56%,56%,48,66,97,55%,61%,46%,55,13.61,14.57,34%,32%,38%,3,2,6,55,53,4,36.10339761333219,-86.71539869486995
Virginia Beach-Norfolk-Newport News,Virginia,1791198,2216,$71652,33%,35,$320528,1683,$189,40,61%,$1263,51%,386,2622,11%,5%,68%,54%,39%,4%,32%,50%,7%,6%,Eastern Standard Time,89,50,38,71,32,57%,59%,48,66,97,61%,65%,57%,50,16.26,9.23,33%,34%,33%,6,1,7,34,62,4,36.88636479286541,-76.25264376365857
Providence-Warwick,Rhode Island,1668019,3619,$65086,28%,38,$452259,1816,$250,59,56%,$1083,57%,302,1438,14%,6%,65%,53%,39%,3%,7%,64%,19%,18%,Eastern Standard Time,83,38,45,64,21,55%,56%,39,59,86,57%,61%,54%,50,11.67,12.99,36%,34%,37%,39,13,7,19,70,3,41.76794008806308,-71.3242903582798
Jacksonville,Florida,1581680,1399,$65527,32%,37,$336203,1604,$207,33,63%,$1240,52%,619,3210,13%,4%,64%,42%,53%,4%,24%,56%,10%,10%,Eastern Standard Time,92,65,26,76,48,56%,59%,59,71,106,64%,65%,59%,52,20.3,8.94,33%,50%,27%,0,0,6,68,56,5,30.288557600230348,-81.64140245849784
Milwaukee-Waukesha-West Allis,Wisconsin,1571784,3750,$66273,35%,37,$295653,1670,$171,58,57%,$1023,56%,656,2101,15%,4%,65%,54%,39%,4%,21%,56%,13%,8%,Central Standard Time,82,29,52,62,14,63%,61%,37,58,85,53%,66%,44%,37,12.95,5.68,34%,34%,33%,50,31,8,34,69,3,43.07389143691601,-88.04496637481849
Oklahoma City,Oklahoma,1412874,1226,$66658,34%,35,$259221,1698,$150,38,65%,$975,48%,493,3242,13%,4%,64%,37%,55%,2%,7%,70%,9%,5%,Central Standard Time,94,51,42,73,28,55%,53%,46,64,103,66%,76%,60%,38,12.65,4.33,21%,22%,15%,7,2,7,49,52,5,35.45786625536774,-97.52082664583473
Raleigh,North Carolina,1391801,2146,$90418,49%,36,$472254,2272,$205,19,70%,$1278,41%,158,1590,8%,4%,69%,52%,42%,6%,20%,60%,9%,10%,Eastern Standard Time,89,51,38,68,29,53%,56%,47,66,96,59%,61%,55%,50,15.0,10.5,29%,32%,30%,4,2,6,42,60,4,35.734706279127316,-78.63593638981583
Memphis,Tennessee,1335291,1861,$58094,31%,35,$234390,1655,$136,44,56%,$1064,57%,1512,5009,19%,7%,63%,59%,36%,2%,51%,37%,6%,6%,Central Standard Time,91,50,41,73,32,56%,56%,50,68,102,63%,74%,52%,55,11.94,14.7,31%,27%,35%,3,1,8,53,46,4,35.136190860717974,-89.91997304053541
Richmond,Virginia,1303212,2604,$69261,38%,37,$339270,1698,$199,47,57%,$1216,56%,465,3312,13%,5%,67%,60%,34%,4%,34%,49%,7%,9%,Eastern Standard Time,89,48,41,69,28,53%,55%,46,66,96,61%,66%,56%,48,14.5,10.04,33%,34%,33%,10,3,7,34,47,4,37.509525517862365,-77.46683694473025
Louisville,Kentucky,1279554,5798,$68371,29%,39,$262849,1694,$155,43,69%,$970,50%,198,2578,11%,4%,64%,45%,49%,1%,8%,79%,5%,4%,Eastern Standard Time,88,43,45,69,26,56%,55%,45,65,94,55%,65%,46%,52,13.41,11.8,35%,34%,38%,13,9,7,45,54,4,38.27417333806329,-85.73435947668978
New Orleans-Metairie,Louisiana,1269037,3078,$55138,31%,39,$287779,1642,$176,50,62%,$1056,58%,897,4561,18%,7%,62%,54%,41%,2%,38%,46%,9%,8%,Central Standard Time,92,62,29,76,44,61%,63%,58,72,108,58%,62%,51%,64,21.48,15.05,30%,43%,30%,0,0,7,67,49,5,29.9815712139951,-90.13185767531276
Salt Lake City,Utah,1244671,3491,$85284,35%,33,$530292,2127,$254,36,72%,$1314,45%,422,3450,8%,3%,72%,40%,33%,3%,1%,70%,18%,12%,Mountain Standard Time,92,37,54,68,22,42%,22%,32,43,88,66%,83%,47%,19,2.66,5.1,25%,14%,32%,55,24,8,38,68,4,40.63698302477017,-111.96020872150822
Hartford-West Hartford-East Hartford,Connecticut,1213324,2306,$69628,34%,37,$294868,1747,$169,59,57%,$1191,59%,212,1720,15%,7%,64%,56%,38%,4%,15%,55%,22%,14%,Eastern Standard Time,85,37,47,65,20,53%,52%,37,58,87,58%,63%,57%,49,13.75,11.74,35%,36%,34%,46,14,7,19,64,3,41.74537652451079,-72.65893467562957
Buffalo-Cheektowaga-Niagara Falls,New York,1162523,4194,$56712,31%,39,$223737,1540,$143,61,64%,$866,58%,456,2212,16%,5%,62%,48%,46%,3%,15%,71%,6%,6%,Eastern Standard Time,81,32,48,62,18,62%,56%,38,57,82,47%,64%,30%,41,10.95,9.83,46%,37%,58%,89,53,8,31,73,3,42.93577957324634,-78.80736297360471
Birmingham-Hoover,Alabama,1109895,1247,$69510,36%,38,$302399,1939,$150,39,69%,$1038,51%,133,2243,13%,5%,62%,41%,54%,1%,33%,57%,4%,4%,Central Standard Time,91,55,36,71,34,55%,56%,50,67,102,58%,62%,49%,58,14.28,17.37,31%,35%,36%,1,0,6,58,36,5,33.486521631032716,-86.7724011979555
Rochester,New York,1088373,2556,$53959,33%,37,$256044,1467,$184,58,56%,$924,60%,468,2531,18%,6%,62%,48%,44%,2%,19%,63%,11%,8%,Eastern Standard Time,82,34,48,62,18,61%,55%,38,57,83,47%,63%,32%,36,11.03,7.45,45%,37%,56%,83,51,8,27,75,3,43.08859928142767,-77.57885846735516
Grand Rapids-Wyoming,Michigan,1081665,4217,$69715,34%,34,$308293,1486,$207,40,72%,$1072,50%,416,1781,11%,4%,68%,39%,52%,2%,5%,78%,9%,7%,Eastern Standard Time,83,31,51,60,17,62%,56%,38,58,85,46%,63%,28%,42,11.31,8.53,42%,33%,53%,74,46,8,34,70,3,42.95641996330006,-85.66153951605216
Tucson,Arizona,1035063,17051,$55204,30%,36,$338222,1631,$206,38,60%,$991,56%,622,3095,17%,6%,60%,53%,39%,2%,4%,46%,41%,13%,Mountain Standard Time,101,65,36,71,40,23%,24%,37,50,102,85%,86%,80%,12,5.74,2.86,12%,20%,12%,0,0,7,43,60,6,32.17406231751721,-110.91992467068135
Honolulu,Hawaii,1015167,6032,$103073,34%,39,$709801,1068,$661,40,65%,$2150,46%,270,3001,7%,4%,66%,61%,31%,38%,2%,18%,11%,15%,Hawaii Standard Time,85,78,7,72,65,56%,53%,N/A,N/A,88,65%,70%,59%,42,7.31,13.35,50%,52%,46%,N/A,N/A,N/A,N/A,68,9,21.431275074251577,-157.9591931381453
Tulsa,Oklahoma,1009982,1699,$59363,30%,36,$238436,1728,$136,40,62%,$932,50%,590,3761,14%,5%,64%,32%,61%,3%,9%,61%,11%,7%,Central Standard Time,94,50,43,72,27,55%,54%,46,66,106,59%,70%,53%,43,12.97,6.06,25%,26%,19%,8,3,7,47,41,4,36.13216326806308,-95.90580786987819
Fresno,California,1003150,4439,$60827,22%,32,$393091,1700,$231,38,52%,$1112,54%,326,1651,20%,9%,61%,49%,43%,11%,4%,26%,54%,20%,Pacific Standard Time,99,56,42,69,39,40%,22%,46,52,97,76%,95%,49%,10,0.15,5.24,12%,0%,23%,0,0,6,5,47,5,36.74442926593877,-119.77324537635698
Worcester,Massachusetts,973361,2175,$64264,29%,37,$433571,1719,$254,66,54%,$1108,58%,344,1154,14%,6%,64%,49%,41%,4%,7%,65%,19%,15%,Eastern Standard Time,82,34,47,62,17,56%,56%,35,56,84,57%,62%,54%,49,13.25,11.97,37%,38%,37%,62,19,7,22,71,3,42.23807741964103,-71.83347813519227
Omaha-Council Bluffs,Nebraska,959306,2962,$67010,35%,35,$261721,1793,$146,47,65%,$983,51%,540,3399,11%,4%,69%,42%,50%,3%,8%,71%,12%,8%,Central Standard Time,88,33,54,67,15,58%,56%,39,61,94,60%,72%,53%,35,13.4,3.72,29%,32%,23%,27,18,8,45,64,3,41.241567171337984,-96.03708234880399
Bridgeport-Stamford-Norwalk,Connecticut,956446,3772,$87975,40%,39,$549540,1865,$281,55,56%,$1649,52%,208,1347,12%,6%,68%,57%,38%,6%,16%,46%,28%,28%,Eastern Standard Time,85,38,46,66,22,59%,60%,41,61,89,58%,63%,57%,49,13.41,11.83,35%,36%,35%,35,12,7,20,57,3,41.20115550029759,-73.35756254530125
Greenville-Anderson-Mauldin,South Carolina,918166,1847,$58649,34%,36,$314003,1822,$171,37,61%,$968,52%,431,3454,16%,4%,64%,31%,63%,2%,19%,64%,9%,8%,Eastern Standard Time,90,53,37,70,33,54%,58%,48,66,101,59%,59%,57%,50,13.51,13.66,31%,36%,33%,3,0,6,42,52,4,34.77235355895268,-82.40661076811699
Albuquerque,New Mexico,913388,2504,$56617,34%,39,$352350,1757,$201,38,67%,$927,57%,1304,2599,16%,6%,61%,50%,36%,2%,2%,36%,51%,9%,Mountain Standard Time,94,49,44,55,20,29%,25%,30,45,93,76%,78%,73%,9,4.05,1.58,15%,23%,12%,8,5,N/A,39,62,6,35.08253057073038,-106.64001145105743
Bakersfield,California,905644,2425,$62860,18%,32,$354002,1658,$213,34,59%,$1104,51%,460,3478,18%,8%,59%,40%,53%,5%,5%,33%,52%,19%,Pacific Standard Time,98,58,39,69,36,37%,23%,45,51,96,72%,79%,66%,8,0.15,4.31,9%,0%,18%,0,0,6,3,52,5,35.377643086824655,-118.92604468597109
Albany-Schenectady-Troy,New York,898265,2043,$68875,39%,37,$299616,1674,$177,61,56%,$1104,59%,348,2016,13%,5%,64%,49%,43%,4%,11%,72%,6%,9%,Eastern Standard Time,84,33,50,62,16,57%,55%,37,58,86,50%,58%,45%,45,14.58,9.47,38%,40%,39%,54,29,7,22,67,3,42.79425944080906,-73.79871596951587
Knoxville,Tennessee,873816,1386,$55227,31%,38,$324089,1643,$196,44,59%,$923,53%,522,3532,16%,5%,59%,29%,65%,1%,9%,80%,4%,5%,Eastern Standard Time,88,47,40,66,27,57%,58%,48,66,95,57%,66%,44%,57,13.64,16.65,34%,34%,38%,4,1,6,46,50,4,35.948108589905395,-84.04814864480034
Baton Rouge,Louisiana,867628,2067,$61832,32%,34,$250957,1732,$142,37,64%,$997,58%,821,4943,18%,7%,63%,47%,48%,2%,44%,46%,3%,4%,Central Standard Time,91,61,29,73,40,59%,61%,57,71,104,58%,62%,50%,67,20.95,17.29,32%,42%,34%,0,0,6,72,42,5,30.442113507362304,-91.09697413533604
McAllen-Edinburg-Mission,Texas,865677,2317,$46598,21%,30,$239925,1767,$135,23,67%,$789,49%,260,2591,26%,7%,59%,68%,27%,1%,0%,6%,91%,25%,Central Standard Time,99,71,27,78,49,60%,56%,64,73,120,59%,77%,42%,26,8.84,3.44,16%,15%,17%,0,0,N/A,26,77,6,26.221508873659204,-98.19209927698147
New Haven-Milford,Connecticut,864751,2993,$63605,29%,37,$300821,1666,$181,62,53%,$1192,60%,279,2101,16%,7%,64%,54%,42%,3%,19%,48%,26%,15%,Eastern Standard Time,84,38,46,65,21,57%,57%,40,60,87,58%,63%,57%,48,12.92,11.74,33%,35%,32%,39,12,7,20,60,3,41.40328058451061,-72.95106925110483
El Paso,Texas,863807,2486,$50702,25%,33,$238227,1681,$141,35,63%,$909,51%,331,1451,19%,6%,62%,68%,25%,1%,3%,11%,82%,23%,Mountain Standard Time,98,58,39,71,33,27%,26%,35,51,95,83%,85%,80%,10,4.29,1.6,13%,22%,11%,2,0,N/A,35,66,6,31.830181303644824,-106.40861854249283
Allentown-Bethlehem-Easton,Pennsylvania,857997,3728,$64160,26%,37,$266870,1557,$172,60,59%,$1134,55%,245,1715,14%,6%,63%,45%,50%,2%,8%,61%,26%,11%,Eastern Standard Time,85,38,47,65,21,55%,53%,40,60,88,53%,62%,47%,51,16.52,11.05,37%,39%,38%,35,15,7,29,51,3,40.67413165357411,-75.40294161898092
Oxnard-Thousand Oaks-Ventura,California,845255,4540,$97389,32%,38,$814010,1710,$473,42,63%,$2051,49%,216,1553,8%,5%,65%,54%,37%,7%,1%,41%,44%,22%,Pacific Standard Time,81,67,14,58,44,57%,62%,50,57,85,72%,77%,70%,12,0.09,7.45,9%,1%,19%,0,0,3,3,63,6,34.242702820764315,-119.04303501677524
Columbia,South Carolina,825823,1416,$52897,36%,34,$194220,1180,$163,40,57%,$989,60%,694,4892,18%,6%,64%,51%,43%,2%,36%,52%,5%,5%,Eastern Standard Time,93,57,36,71,34,50%,52%,51,68,102,64%,67%,57%,48,14.57,11.95,31%,36%,33%,1,0,6,50,45,4,34.03479808127898,-81.01076669926033
North Port-Sarasota-Bradenton,Florida,824160,2801,$65040,31%,51,$435280,1494,$285,36,70%,$1355,48%,274,1971,10%,4%,52%,41%,54%,1%,7%,74%,13%,12%,Eastern Standard Time,92,73,18,75,51,56%,61%,62,72,107,69%,67%,65%,50,24.89,5.9,30%,50%,21%,0,0,6,82,66,6,27.273238101600125,-82.45640379333
