	Month of Period End
Algonquin, MD	$324K
Algood, TN	$225K
Alhambra Valley, CA	$1,300K
Alhambra, CA	$793K
Alhambra, IL	
Alice Acres, TX	$270K
Alice, TX	$155K
Aliceville, AL	$111K
Aliquippa, PA	$138K
Aliso Viejo, CA	$885K
Alix, AR	$60K
Allamuchy, NJ	
Alleene, AR	
Allegan, MI	$200K
Allegany, NY	$85K
Alleghenyville, PA	$455K
Alleman, IA	
Allen Park, MI	$194K
Allen, KS	
Allen, MI	$140K
Allen, NE	
Allen, OK	
Allen, TX	$566K
Allendale, CA	$1,130K
Allendale, MI	$320K
Allendale, NJ	$833K
Allenhurst, GA	$210K
Allenhurst, NJ	
Allenport, PA	
Allens Grove, WI	
Allenspark, CO	$425K
Allensville, PA	
Allenton, WI	$470K
Allentown, FL	
Allentown, NJ	$409K
Allentown, PA	$219K
Allenville, MO	
Allenwood, NJ	
Allenwood, PA	$165K
Allerton, IL	
Allgood, AL	
Alliance, NC	
Alliance, OH	$129K
Allison Park, PA	$300K
Allison, PA	
Allisonia, VA	
Allouez, WI	$280K
Alloway, MD	
Alloway, NJ	
Allport, AR	
Allport, PA	$180K
Allyn, WA	$478K
Alma, AR	$179K
Alma, CO	$838K
Alma, IL	
Alma, KS	$269K
Alma, MI	$123K
Alma, MO	$175K
Alma, TX	
Almedia, PA	
Almond, WI	$197K
Almont, MI	$262K
Aloha, OR	$499K
Alondra Park, CA	$840K
Alorton, IL	
Alpaugh, CA	
Alpena, MI	$125K
Alpena, SD	$59K
Alpha, IL	
Alpha, NJ	$320K
Alpharetta, GA	$735K
Alpine, AR	$25K
Alpine, CA	$982K
Alpine, NJ	$2,240K
Alpine, OR	
Alpine, UT	$1,030K
Alsace Manor, PA	$199K
Alsea, OR	
Alsey, IL	
Alsip, IL	$217K
Alston, GA	
Alta Sierra, CA	$519K
Alta Vista, KS	
Alta, CA	$330K
Alta, IA	$183K
Alta, UT	
Altadena, CA	$1,370K
Altamahaw, NC	
Altamont, IL	$115K
Altamont, KS	$139K
Altamont, NY	$234K
Altamont, OR	$280K
Altamont, PA	
Altamonte Springs, FL	$263K
Altavista, VA	$127K
Altheimer, AR	
Altmar, NY	$43K
Alto Bonito Heights, TX	
Alto, CA	$3,405K
Alto, TX	$180K
Alto, WI	
Alton, IL	$83K
Alton, NH	$343K
Alton, TX	$230K
Altona, CO	$1,000K
Altona, IL	
Altona, IN	
Altona, NY	
Altoona Beach, MD	
Altoona, AL	$238K
Altoona, FL	$170K
Altoona, IA	$313K
Altoona, PA	$98K
Altoona, WI	$262K
Altura, MN	$150K
Alturas, FL	$187K
Altus, AR	$132K
Altus, OK	$215K
Alum Rock, CA	$950K
Alva, FL	$538K
Alvarado, TX	$280K
Alverda, PA	
Alvin, IL	
Alvin, TX	$275K
Alvo, NE	
Alvord, TX	$285K
Ama, LA	
Amado, AZ	
Amagansett, NY	
Amalga, UT	
Amanda Park, WA	
Amanda, OH	$343K
Amargosa Valley, NV	
Amargosa, TX	
Amarillo, TX	$235K
Amazonia, MO	
Amber, OK	$550K
Amberg, WI	$97K
Amberley, OH	$611K
Ambia, IN	
Ambler, PA	$360K
Amboy, IL	
Amboy, IN	
Amboy, NY	
Amboy, WA	$746K
Ambridge, PA	$146K
Ambrose, GA	
Amelia Court House, VA	$285K
Amelia, LA	
Amelia, OH	$260K
Amenia, NY	
American Canyon, CA	$715K
American Falls, ID	$350K
American Fork, UT	$500K
Americus, GA	$167K
Americus, IN	
Americus, KS	$157K
Ames Lake, WA	$1,549K
Ames, IA	$290K
Ames, NE	
Ames, NY	
Ames, TX	
Amesbury Town, MA	$555K
Amesbury, MA	$555K
Amesti, CA	
Amesville, OH	
Amherst Center, MA	$425K
Amherst Junction, WI	
Amherst Town, MA	$438K
Amherst, MA	
Amherst, NE	
Amherst, NH	$575K
Amherst, NY	$320K
Amherst, OH	$220K
Amherst, VA	$295K
Amherst, WI	$475K
Amistad, TX	
Amite City, LA	
Amity Gardens, PA	$362K
Amity, AR	
Amity, MO	
Amity, OR	$385K
Amityville, NY	$493K
Ammon, ID	$477K
Amo, IN	
Amoret, MO	
Ampere North, NJ	$492K
Amsterdam, MO	$185K
Amsterdam, MT	
Amsterdam, NY	$160K
Amsterdam, OH	$103K
Anacoco, LA	$224K
Anacortes, WA	$795K
Anaheim, CA	$816K
Anahola, HI	
Anahuac, TX	$235K
Anamosa, IA	$155K
Anatone, WA	
Anchor Bay, CA	
Anchor, IL	$128K
Anchorage, AK	$374K
Anchorage, KY	$795K
Ancient Oaks, PA	$453K
Ancram, NY	$583K
Andale, KS	
Andalusia, IL	
Anderson Creek, NC	$338K
Anderson Island, WA	$340K
Anderson Mill, TX	$425K
Anderson Township, OH	$363K
Anderson, AL	
Anderson, CA	$274K
Anderson, IN	$163K
Anderson, NJ	$390K
Anderson, SC	$235K
Anderson, SD	
Andersonville, GA	
Andersonville, OH	
Andersonville, TN	$455K
Andover, IL	
Andover, KS	$314K
Andover, MA	$999K
Andover, MN	$459K
Andover, NJ	$421K
Andover, OH	$153K
Andres, IL	
Andrews, FL	$415K
Andrews, IN	$115K
Andrews, SC	
Andrews, TX	$112K
Angelica, WI	
Angelus Oaks, CA	
Angie, LA	
Angier, NC	$330K
Angleton, TX	$230K
Angola on the Lake, NY	$165K
Angola, IN	$170K
Angola, NY	$165K
Angus, TX	
Angwin, CA	$566K
Aniwa, WI	
Ankeny, IA	$308K
Ann Arbor, MI	$480K
Anna Maria, FL	$1,995K
Anna, OH	$328K
Anna, TX	$393K
Annandale, MN	$389K
Annandale, NJ	$570K
Annandale, VA	$683K
Annapolis Neck, MD	$635K
Annapolis, CA	
Annapolis, MD	$575K
Annawan, IL	
Annetta North, TX	
Annetta South, TX	
Annetta, TX	$550K
Annex, OR	
Anniston, AL	$144K
Annsville, NY	$230K
Annville, PA	$200K
Anoka, MN	$350K
Anson, TX	$176K
Ansonia, CT	$331K
Ansonia, OH	
Ansonville, NC	
Antares, AZ	
Antelope Acres, CA	
Antelope, CA	$460K
Antelope, OR	
Anthem, AZ	$545K
Anthon, IA	
Anthony, NM	$169K
Anthony, TX	$234K
Anthoston, KY	
Antietam, MD	
Antioch, CA	$610K
Antioch, IL	$333K
Anton, TX	
Antrim, NH	$379K
Antwerp, NY	
Anza, CA	$413K
Apache Junction, AZ	$355K
Apalachin, NY	$165K
Apex, NC	$630K
Aplin, AR	
Apollo Beach, FL	$432K
Apollo, PA	$223K
Apopka, FL	$442K
Appalachia, VA	$15K
Apple Creek, OH	$218K
Apple Mountain Lake, VA	$542K
Apple Valley, CA	$405K
Apple Valley, MN	$350K
Apple Valley, OH	$283K
Apple Valley, UT	$499K
Appleby, TX	
Appleton, AR	
Appleton, WI	$253K
Applewold, PA	
Applewood, CO	$770K
Appling, GA	$650K
Appomattox, VA	
Aptos Hills-Larkin Valley, CA	
Aptos, CA	$1,625K
Aquadale, NC	
Aquasco, MD	
Aquebogue, NY	$560K
Aquia Harbour, VA	$445K
Aquilla, OH	
Aquinnah, MA	
Arab, AL	$255K
Arabi, LA	$299K
Aragon, GA	$215K
Arapaho, OK	$46K
Arapahoe, NC	
Arbon Valley, ID	
Arbury Hills, IL	
Arbutus, MD	$310K
Arbyrd, MO	
Arcade, GA	$465K
Arcadia, CA	$1,615K
Arcadia, FL	$226K
Arcadia, IA	
Arcadia, IN	$225K
Arcadia, KS	
Arcadia, NY	$150K
Arcadia, OH	
Arcadia, OK	$315K
Arcadia, SC	$140K
Arcanum, OH	
Arcata, CA	$598K
Archbald, PA	$155K
Archbold, OH	$164K
Archdale, NC	$234K
Archer City, TX	$94K
Archer Lodge, NC	$321K
Archer, FL	$192K
Archie, MO	$603K
Arco, ID	$299K
Arcola, MS	
Arcola, TX	$291K
Arcola, VA	$1,000K
Arden Hills, MN	$408K
Arden on the Severn, MD	$520K
Arden Valley, MD	
Arden-Arcade, CA	$435K
Arden, DE	
Ardencroft, DE	
Ardentown, DE	$390K
Ardmore, AL	$437K
Ardmore, OK	$145K
Ardmore, PA	$435K
Ardsley, NY	$700K
Arena, WI	$344K
Arenas Valley, NM	
Arendtsville, PA	$170K
Argenta, IL	$70K
Argentine, MI	$358K
Argo, AL	$277K
Argo, IA	
Argonia, KS	$60K
Argos, IN	$169K
Argyle, IA	
Argyle, IL	$355K
Argyle, NY	
Argyle, TX	$650K
Arial, SC	$140K
Arimo, ID	
Aripeka, FL	
Aristes, PA	
Aristocrat Ranchettes, CO	$650K
Ariton, AL	
Arivaca Junction, AZ	
Arivaca, AZ	
Arizona City, AZ	$275K
Arizona Village, AZ	
Arjay, KY	
Arkabutla, MS	
Arkadelphia, AR	$125K
Arkansas City, KS	$57K
Arkoe, MO	
Arkport, NY	
Arkwright, NY	
Arkwright, SC	
Arlington Heights, IL	$375K
Arlington Heights, OH	
Arlington Heights, PA	$244K
Arlington Heights, WA	$670K
Arlington, AZ	
Arlington, IL	
Arlington, KS	$276K
Arlington, MA	$1,215K
Arlington, NE	$209K
Arlington, NY	$312K
Arlington, OH	
Arlington, TN	$430K
Arlington, TX	$320K
Arlington, VA	$680K
Arlington, VT	
Arlington, WA	$570K
Arlington, WI	$387K
Arma, KS	$35K
Armada, MI	$238K
Armagh, PA	
Armington, IL	$95K
Armona, CA	$290K
Armonk, NY	$1,027K
Armorel, AR	
Armstrong, OK	
Arnaudville, LA	$56K
Arnold City, PA	
Arnold, MD	$523K
Arnold, MO	$298K
Arnold, PA	$97K
Arnolds Park, IA	$550K
Aroma Park, IL	$175K
Aromas, CA	$1,170K
Arona, PA	
Arp, TX	
Arpelar, OK	
Arpin, WI	$558K
Arrington, VA	
Arrowhead Lake, NJ	
Arrowsmith, IL	
Arroyo Colorado Estates, TX	
Arroyo Gardens, TX	
Arroyo Grande, CA	$800K
Arroyo Hondo, NM	$910K
Arroyo Seco, NM	$607K
Artemus, KY	
Artesia, CA	$570K
Artesia, NM	$278K
Artondale, WA	$828K
Arvada, CO	$646K
Arvin, CA	$273K
Asbury Lake, FL	$303K
Asbury Park, NJ	$533K
Asbury, IA	$325K
Asbury, MO	
Asbury, NJ	$295K
Ascutney, VT	
Ash Flat, AR	$60K
Ash Fork, AZ	
Ash Grove, MO	$279K
Asharoken, NY	$1,500K
Ashaway, RI	$327K
Ashburn, VA	$748K
Ashburnham, MA	$393K
Ashby, MA	$450K
Ashdown, AR	$176K
Asheboro, NC	$235K
Asher, OK	
Asheville, NC	$477K
Ashfield, MA	
Ashford, AL	$267K
Ashford, NY	$241K
Ashford, WA	
Ashippun, WI	
Ashland City, TN	$317K
Ashland Heights, SD	
Ashland, CA	$785K
Ashland, KY	$118K
Ashland, MA	$617K
Ashland, MO	$327K
Ashland, NE	$445K
Ashland, NH	
Ashland, NJ	$333K
Ashland, NY	$100K
Ashland, OH	$122K
Ashland, OK	
Ashland, OR	$574K
Ashland, PA	$125K
Ashland, VA	$485K
Ashley Heights, NC	
Ashley, IN	$188K
Ashley, MI	
Ashley, OH	$225K
Ashley, PA	$165K
Ashmore, IL	
Ashtabula, OH	$104K
Ashton Glen, VA	
Ashton-Sandy Spring, MD	$1,028K
Ashton, ID	
Ashton, IL	
Ashville, AL	$158K
Ashville, OH	$235K
Ashville, PA	$80K
Ashwaubenon, WI	$300K
Asotin, WA	
Aspen Hill, MD	$526K
Aspen Park, CO	
Aspen, CO	$1,875K
Aspers, PA	$293K
Aspinwall, PA	$266K
Assaria, KS	$119K
Assumption, IL	$282K
Astatula, FL	$204K
Astor, FL	$245K
Astoria, IL	$38K
Astoria, OR	$498K
Atalissa, IA	
Atascadero, CA	$699K
Atascocita, TX	$310K
Atchison, KS	$118K
Atco, NJ	$322K
Atglen, PA	
Athalia, OH	
Athena, OR	
Athens, AL	$303K
Athens, IL	$135K
Athens, MI	$133K
Athens, OH	$339K
Athens, PA	$185K
Athens, TN	$270K
Athens, TX	$239K
Athens, WI	
Atherton, CA	$11,188K
Athol, ID	$401K
Athol, MA	$278K
Atkins, AR	
Atkins, IA	$337K
Atkinson Mills, PA	
Atkinson, IL	$173K
Atkinson, NC	
Atlanta, GA	$400K
Atlanta, IL	$105K
Atlanta, IN	$239K
Atlanta, KS	
Atlantic Beach, FL	$700K
Atlantic Beach, NC	$555K
Atlantic Beach, NY	
Atlantic Beach, SC	$313K
Atlantic City, NJ	$180K
Atlantic Highlands, NJ	$664K
Atlantic Mine, MI	
Atlantic, NC	$625K
Atlantic, PA	
Atlantis, FL	$750K
Atlas, PA	
Atlasburg, PA	
Atmore, AL	$170K
Atoka, NM	
Atoka, TN	$343K
Atomic City, ID	
Attalla, AL	$121K
Attapulgus, GA	
Attica, MI	$286K
Attica, OH	
Attleboro, MA	$460K
Atwater, CA	$400K
Atwater, MN	$105K
Atwater, OH	$119K
Atwood, CO	
Atwood, IL	
Atwood, PA	
Au Sable Forks, NY	
Auberry, CA	$255K
Aubrey, TX	$390K
Auburn Hills, MI	$298K
Auburn Lake Trails, CA	$489K
Auburn, AL	$364K
Auburn, CA	$509K
Auburn, GA	$397K
Auburn, IL	$114K
Auburn, IN	$245K
Auburn, KS	$200K
Auburn, MA	$339K
Auburn, ME	$300K
Auburn, MI	$203K
Auburn, NJ	
Auburn, NY	$164K
Auburn, PA	$315K
Auburn, WA	$604K
Auburndale, FL	$323K
Auburndale, MA	
Auburndale, WI	
Auburntown, TN	
Aucilla, FL	
Audubon Park, KY	
Audubon Park, NJ	
Audubon, NJ	$275K
Audubon, PA	$740K
August, CA	$270K
Augusta Springs, VA	
Augusta-Richmond County consolidated government (balance), GA	$229K
Augusta-Richmond County, GA	$220K
Augusta, IA	
Augusta, IL	
Augusta, KS	$128K
Augusta, KY	$400K
Augusta, ME	$285K
Augusta, MI	$159K
Augusta, MO	$410K
Augusta, MT	
Augusta, NY	
Augusta, WI	$208K
Aullville, MO	$142K
Ault Field, WA	
Ault, CO	$418K
Aumsville, OR	$475K
Aurelius, NY	$45K
Aurora, CO	$460K
Aurora, IL	$286K
Aurora, IN	$103K
Aurora, NC	
Aurora, NY	$733K
Aurora, OH	$399K
Aurora, OR	$560K
Aurora, SD	
Aurora, TX	$565K
Ausable, NY	
Austell, GA	$314K
Austerlitz, NY	$878K
Austin, AR	$217K
Austin, IN	$180K
Austin, MN	$165K
Austin, TX	$570K
Austinburg, OH	$330K
Austintown, OH	$150K
Autaugaville, AL	
Auxvasse, MO	$99K
Ava, IL	
Ava, NY	
Avalon, CA	$850K
Avalon, FL	$250K
Avalon, GA	
Avalon, NJ	$1,588K
Avalon, PA	$145K
Avant, OK	
Ave Maria, FL	$452K
Avella, PA	$950K
Avenal, CA	$287K
Avenel, NJ	$440K
Aventura, FL	$485K
Avenue B & C, AZ	$180K
Averill Park, NY	$347K
Avery Creek, NC	$571K
Avila Beach, CA	$1,602K
Avilla, AR	$418K
Avilla, IN	$137K
Avilla, MO	
Avimor, ID	$693K
Avis, PA	
Aviston, IL	$257K
Avoca, AR	
Avoca, IA	$229K
Avoca, IN	$177K
Avoca, NE	
Avoca, NY	
Avoca, PA	$190K
Avoca, WI	
Avocado Heights, CA	$722K
Avon Lake, OH	$430K
Avon Park, FL	$180K
Avon-By-the-Sea, NJ	$1,000K
Avon, AL	
Avon, CO	$904K
Avon, IL	$72K
Avon, IN	$340K
Avon, MA	$505K
Avon, MN	$435K
Avon, NC	$608K
Avon, NY	
Avon, OH	$449K
Avon, PA	$143K
Avon, UT	
Avondale Estates, GA	$635K
Avondale, AZ	$405K
Avondale, CO	
Avondale, LA	$180K
Avondale, MO	$185K
Avondale, PA	$395K
Avonia, PA	
Avonmore, PA	$180K
Avra Valley, AZ	$342K
Awendaw, SC	$300K
Axis, AL	
Axtell, NE	
Ayden, NC	$185K
Ayer, MA	$670K
Aynor, SC	
Ayr, NE	
Azalea Park, FL	$303K
Azle, TX	$330K
Azusa, CA	$677K
Babcock, WI	
Babson Park, FL	$279K
Babylon, NY	$565K
Bache, OK	
Backus, MN	$333K
Bacliff, TX	$240K
Baden, MD	
Baden, PA	$157K
Badger Lee, OK	
Badger, AK	$335K
Badger, IA	
Badin, NC	$177K
Bagdad, FL	$266K
Bagley, IA	$226K
Bagley, WI	$108K
Bagtown, MD	$350K
Baidland, PA	$265K
Bailey Lakes, OH	
Bailey, NC	$260K
Bailey, TX	
Bailey's Crossroads, VA	$465K
Bailey's Prairie, TX	$1,200K
Baileyton, AL	$205K
Baileyton, TN	
Baileyville, IL	
Baileyville, PA	
Bainbridge Island, WA	$1,398K
Bainbridge, GA	$267K
Bainbridge, IN	$213K
Bainbridge, OH	$672K
Bainbridge, PA	$315K
Baird, TX	$158K
Bairdford, PA	
Bairdstown, OH	
Baiting Hollow, NY	$572K
Baker, CA	
Baker, LA	$200K
Baker, OK	
Bakersfield Country Club, CA	$730K
Bakersfield, CA	$380K
Bakersfield, VT	
Bakerstown, PA	$330K
Bakersville, MD	
Bal Harbour, FL	$1,975K
Bala Cynwyd, PA	$430K
Bala, KS	
Balaton, MN	
Balch Springs, TX	$250K
Balcones Heights, TX	
Bald Eagle, PA	
Bald Head Island, NC	$1,178K
Bald Knob, AR	
Baldwin City, KS	$360K
Baldwin Harbor, NY	$593K
Baldwin Park, CA	$675K
Baldwin Park, MO	
Baldwin, FL	$159K
Baldwin, GA	$300K
Baldwin, LA	$137K
Baldwin, MD	$700K
Baldwin, NY	$640K
Baldwin, PA	$204K
Baldwin, WI	$293K
Baldwinsville, NY	$279K
Baldwinville, MA	$332K
Baldwyn, MS	
Baldy Mesa, CA	
Balfour, NC	
Ball Club, MN	
Ball Ground, GA	$354K
Ball Pond, CT	$410K
Ball, LA	
Ballantine, MT	
Ballard, CA	
Ballard, UT	
Ballenger Creek, MD	$385K
Ballico, CA	
Ballplay, AL	
Ballston Spa, NY	$319K
Ballston, NY	$379K
Balltown, IA	
Ballville, OH	$130K
Ballwin, MO	$345K
Bally, PA	$210K
Balm, FL	$350K
Balmville, NY	$410K
Baltic, CT	$215K
Baltic, OH	
Baltic, SD	$310K
Baltimore Highlands, MD	$260K
Baltimore, MD	$215K
Baltimore, OH	$337K
Bancroft, KY	$310K
Bancroft, MI	$218K
Bancroft, WI	
Bandana, KY	
Bandera, TX	$285K
Bandon, OR	$390K
Baneberry, TN	
Bangor Base, WA	
Bangor Trident Base, WA	
Bangor, CA	
Bangor, ME	$268K
Bangor, NY	$112K
Bangor, PA	$395K
Bangor, WI	$240K
Bangs, TX	
Banks Lake South, WA	
Banks, AL	
Banks, ID	
Banks, OR	$395K
Banner Hill, TN	$167K
Banner, IL	
Banning, CA	$368K
Bannock, OH	
Bannockburn, IL	
Bantam, CT	$150K
Baraboo, WI	$255K
Barataria, LA	
Barber, OK	
Barberton, OH	$151K
Barberton, WA	$659K
Barbourmeade, KY	
Barbourville, KY	$499K
Barclay, MD	$320K
Barclay, NJ	$520K
Bardmoor, FL	$315K
Bardolph, IL	
Bardonia, NY	$620K
Bardstown, KY	$430K
Bardwell, TX	
Bargaintown, NJ	$430K
Bargersville, IN	$423K
Baring, WA	$520K
Bark Ranch, CO	
Barker Heights, NC	$292K
Barker Ten Mile, NC	
Barker, NY	$175K
Barkeyville, PA	
Barling, AR	$160K
Barlow, KY	
Barlow, OR	
Barnard, MO	$152K
Barnardsville, NC	
Barnegat Light, NJ	
Barnegat, NJ	$325K
Barnes City, IA	
Barnes Lake-Millers Lake, MI	$195K
Barnes Lake, MI	$195K
Barneston, NE	
Barnesville, GA	$140K
Barnesville, MD	
Barnesville, OH	$87K
Barneveld, NY	
Barneveld, WI	
Barnhart, MO	$250K
Barnhill, OH	
Barnsdall, OK	$11K
Barnstable Town, MA	$710K
Barnstable, MA	$725K
Barnum Island, NY	$673K
Baroda, MI	$190K
Barre, MA	
Barre, NY	
Barre, VT	$284K
Barrelville, MD	
Barrera, TX	
Barrett, TX	$190K
Barrington Hills, IL	$868K
Barrington, IL	$553K
Barrington, NJ	$304K
Barrington, NY	
Barrington, RI	$650K
Barrville, PA	
Barry, TX	
Barryton, MI	
Barrytown, NY	
Barstow, CA	$250K
Barstow, IL	
Bartelso, IL	
Bartlesville, OK	$145K
Bartlett, IL	$344K
Bartlett, KS	
Bartlett, TN	$315K
Bartlett, TX	$182K
Barton Creek, TX	$3,450K
Barton Hills, MI	
Barton, MD	$146K
Barton, NY	$165K
Bartonsville, MD	$568K
Bartonville, IL	$103K
Bartonville, TX	
Bartow, FL	$290K
Barview, OR	$329K
Barwick, GA	
Basalt, CO	$1,798K
Basalt, ID	
Basco, IL	
Bascom, OH	
Basehor, KS	$425K
Basin City, WA	
Basin, MT	
Basking Ridge, NJ	$805K
Bass Lake, CA	
Bass Lake, OH	
Bassett, AR	
Bassett, VA	$280K
Bastian, VA	
Bastrop, LA	$99K
Bastrop, TX	$375K
Batavia, IA	$25K
Batavia, IL	$380K
Batavia, MT	$335K
Batavia, NY	$120K
Batavia, OH	$230K
Batavia, WI	
Batchtown, IL	
Bates City, MO	
Batesville, AR	$185K
Bath (Berkeley Springs), WV	$215K
Bath Corner, SD	
Bath, ME	$241K
Bath, MI	
Bath, NC	$399K
Bath, NY	$135K
Bath, PA	$238K
Bath, SD	
Baton Rouge, LA	$250K
Battle Creek, MI	$148K
Battle Creek, NE	$70K
Battle Ground, IN	$246K
Battle Ground, WA	$571K
Battle Lake, MN	$385K
Battlefield, MO	$320K
Battlement Mesa, CO	$365K
Baumstown, PA	$71K
Bauxite, AR	$292K
Bavaria, KS	
Bawcomville, LA	$94K
Baxter Estates, NY	
Baxter Village, SC	$725K
Baxter, IA	$170K
Baxter, MN	$300K
Baxter, TN	$347K
Bay City, MI	$115K
Bay City, TX	$163K
Bay City, WI	
Bay Harbor Islands, FL	$830K
Bay Head, NJ	$1,805K
Bay Hill, FL	$1,228K
Bay Minette, AL	$239K
Bay Park, NY	$530K
Bay Pines, FL	$243K
Bay Point, CA	$540K
Bay Shore, NY	$560K
Bay St. Louis, MS	$352K
Bay View Gardens, IL	
Bay View, OH	
Bay View, WA	
Bay Village, OH	$440K
Bay, AR	$35K
Bayard, IA	
Bayard, NM	$169K
Bayboro, NC	$89K
Bayfield, CO	$582K
Bayonet Point, FL	$234K
Bayonne, NJ	$481K
Bayou Blue, LA	$298K
Bayou Cane, LA	$200K
Bayou Country Club, LA	$220K
Bayou Gauche, LA	$90K
Bayou Goula, LA	
Bayou L'Ourse, LA	
Bayou La Batre, AL	$225K
Bayou Vista, LA	$150K
Bayou Vista, TX	$345K
Bayport, FL	
Bayport, MN	$368K
Bayport, NY	$600K
Bayshore Gardens, FL	$180K
Bayshore, NC	$455K
Bayshore, OR	$440K
Bayside, WI	$575K
Baytown, TX	$240K
Bayview, CA	$735K
Bayview, NC	
