City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Carrolltown,789,1,0,0,0,1,5,3,2,0,0
Catasauqua,6619,14,0,1,0,13,118,19,90,9,0
Central Bucks Regional,15494,8,0,0,1,7,72,6,63,3,1
Chambersburg,21131,59,4,9,12,34,491,51,429,11,4
Chartiers Township,8031,3,0,0,1,2,35,2,33,0,1
Chester,33905,469,18,29,142,280,1019,254,597,168,17
Cleona,2221,0,0,0,0,0,10,0,10,0,
Cochranton,1077,2,0,0,0,2,1,0,1,0,0
Collegeville,5115,1,0,0,0,1,18,1,17,0,0
Covington Township,2255,7,0,0,1,6,19,3,13,3,0
Crafton,6178,12,0,0,1,11,168,5,160,3,0
Cresson Township,2492,1,0,0,0,1,5,0,5,0,0
"Cumberland Township, Greene County",6180,9,0,0,0,9,77,8,65,4,1
Cumru Township,15496,16,0,0,3,13,232,20,202,10,2
Dallas Township,9354,1,0,0,1,0,33,4,28,1,0
Danville,4613,18,0,0,0,18,51,4,46,1,0
Darby Township,9256,68,2,2,7,57,176,16,138,22,0
Derry,2512,0,0,0,0,0,4,0,4,0,0
Doylestown Township,17397,12,0,3,0,9,88,10,77,1,0
Dublin Borough,2140,4,0,0,2,2,7,1,5,1,0
Duncansville,1162,1,0,0,0,1,6,0,5,1,0
Dunnstable Township,1010,0,0,0,0,0,0,0,0,0,0
East Bangor,1699,0,0,0,0,0,2,0,2,0,0
East Brandywine Township,9123,4,0,0,0,4,16,0,15,1,0
East Franklin Township,3849,0,0,0,0,0,27,0,27,0,0
East Greenville,2962,0,0,0,0,0,10,1,9,0,0
East Taylor Township,2488,2,0,0,0,2,13,4,8,1,0
Eddystone,2404,21,0,1,4,16,176,6,164,6,1
Edgeworth,1647,0,0,0,0,0,0,0,0,0,0
Elderton,338,0,0,0,0,0,0,0,0,0,0
Elizabeth,1966,3,0,0,0,3,1,0,1,0,0
Elizabeth Township,12991,12,0,3,1,8,84,14,68,2,1
Elkland,1742,3,0,0,0,3,17,3,13,1,1
Emporium,1806,5,0,0,0,5,14,1,13,0,0
Ephrata Township,10483,8,0,1,2,5,149,8,133,8,0
Erie,95834,476,9,54,93,320,1817,342,1379,96,33
Etna,3324,6,0,0,1,5,44,4,35,5,0
Fawn Township,2304,2,0,0,0,2,12,1,9,2,0
Fayette City,555,0,0,0,0,0,1,0,1,0,0
Ford City,2770,4,0,1,2,1,31,3,25,3,0
Forest City,1741,1,0,0,0,1,13,2,11,0,2
Forks Township,15741,4,0,4,0,0,141,2,137,2,0
"Foster Township, McKean County",4047,4,0,1,1,2,21,6,15,0,1
Frackville,3609,6,0,0,0,6,20,4,16,0,0
"Franklin Township, Columbia County",583,3,0,0,1,2,0,0,0,0,0
Greene County Regional Police Department,5250,1,0,0,0,1,40,9,28,3,0
Grove City,7840,9,1,2,0,6,31,5,25,1,0
Hanover,15707,37,0,1,13,23,300,26,269,5,2
Harrisburg,49195,443,13,36,160,234,1069,229,728,112,13
Harveys Lake,2768,0,0,0,0,0,13,1,11,1,0
Hastings,1171,0,0,0,0,0,8,1,7,0,0
Highspire,2371,12,0,0,3,9,42,2,40,0,
Hilltown Township,15589,13,0,5,1,7,116,8,103,5,0
Hughestown,1375,1,0,0,0,1,5,1,4,0,0
"Independence Township, Beaver County",2342,2,0,0,0,2,11,1,10,0,0
Indiana,12974,88,0,10,6,72,142,19,122,1,0
Ingram,3212,5,0,0,1,4,19,4,15,0,0
Ivyland,1039,0,0,0,0,0,4,2,2,0,0
"Jackson Township, Cambria County",4041,4,0,0,0,4,7,0,7,0,1
"Jackson Township, Luzerne County",4638,0,0,0,0,0,7,1,5,1,0
Jefferson Hills Borough,11211,25,0,0,1,24,62,6,53,3,0
Kingston Township,6882,4,0,0,0,4,34,2,31,1,0
"Lancaster Township, Butler County",2683,1,0,0,0,1,2,2,0,0,0
"Lancaster Township, Lancaster County",17176,21,1,2,3,15,343,16,299,28,0
Langhorne Borough,1580,2,0,0,0,2,6,0,6,0,0
Langhorne Manor,1428,0,0,0,0,0,2,1,1,0,0
Lansdale,16759,23,0,3,3,17,177,10,164,3,0
Lansdowne,10621,18,0,3,9,6,244,23,201,20,0
Lansford,3800,26,0,1,2,23,82,14,62,6,0
Latimore Township,2621,4,0,0,1,3,15,8,7,0,0
Lawrence Park Township,3755,5,0,0,0,5,2,1,1,0,0
Lebanon,25959,65,1,5,21,38,528,77,430,21,1
Leetsdale,1173,2,0,0,0,2,28,5,21,2,0
Lehighton,5309,23,0,1,2,20,79,21,49,9,1
Lower Allen Township,19650,26,0,7,3,16,255,12,240,3,1
Lower Burrell,11077,16,0,5,1,10,105,2,102,1,0
Lower Heidelberg Township,6192,7,0,0,1,6,13,2,11,0,0
Lower Merion Township,59796,29,0,2,19,8,874,78,762,34,1
Lower Salford Township,15534,0,0,0,0,0,49,3,45,1,1
Luzerne Township,5896,0,0,0,0,0,0,0,0,0,0
"Mahoning Township, Carbon County",4232,20,0,0,1,19,102,10,90,2,0
"Mahoning Township, Lawrence County",2875,1,0,0,0,1,0,0,0,0,0
Malvern,3506,2,0,0,0,2,15,3,10,2,0
Manheim,4859,25,0,4,2,19,70,11,53,6,0
"Manor Township, Armstrong County",4053,1,0,0,0,1,2,0,2,0,0
"Manor Township, Lancaster County",21059,8,0,1,2,5,119,23,91,5,0
Mansfield,2940,2,0,0,0,2,4,0,4,0,0
"Marion Township, Beaver County",872,0,0,0,0,0,3,1,2,0,0
Marple Township,23859,7,0,0,1,6,317,15,300,2,0
Masontown,3287,1,0,0,0,1,18,6,11,1,0
McDonald Borough,2058,4,0,0,1,3,34,2,32,0,0
McKeesport,20765,318,7,10,32,269,573,160,371,42,14
McSherrystown,3091,2,0,0,0,2,1,0,1,0,0
Mechanicsburg,8994,13,0,5,1,7,144,10,131,3,0
Middleburg,1289,0,0,0,0,0,15,4,11,0,3
Midland,2469,7,0,2,1,4,28,6,20,2,0
Midway,875,1,0,0,0,1,0,0,0,0,0
"Millcreek Township, Lebanon County",5783,0,0,0,0,0,17,2,14,1,0
Monongahela,9795,12,0,0,1,11,83,14,61,8,0
Montoursville,4404,4,0,0,2,2,82,6,76,0,0
Moon Township,25647,13,0,2,4,7,208,28,171,9,0
Moscow,2061,19,0,0,0,19,17,3,13,1,0
Mount Carmel Township,2970,16,0,0,0,16,8,3,5,0,0
Mount Pleasant Township,3529,1,0,0,0,1,11,0,10,1,0
Nazareth,5717,2,0,0,0,2,61,5,55,1,1
Newberry Township,15885,21,0,2,0,19,255,39,204,12,0
New Britain Township,11444,2,0,0,0,2,54,4,49,1,1
New Kensington,12273,65,1,8,19,37,325,48,258,19,0
Newport Township,5386,3,0,1,0,2,28,7,21,0,0
New Sewickley Township,7175,12,0,2,0,10,81,8,72,1,0
New Wilmington,2178,3,0,0,0,3,11,2,9,0,0
Norristown,34430,170,4,4,100,62,543,70,411,62,1
Northampton Township,39171,6,0,3,2,1,131,13,114,4,0
North Coventry Township,8004,1,0,1,0,0,128,7,119,2,0
North Middleton Township,11713,4,1,1,0,2,43,3,36,4,0
North Sewickley Township,5392,7,0,0,0,7,27,1,24,2,0
North Strabane Township,14751,35,0,2,1,32,88,2,85,1,0
Northumberland,3605,4,0,0,0,4,16,6,7,3,0
North Versailles Township,12034,31,0,1,6,24,47,6,36,5,0
Old Forge,7891,6,0,0,0,6,31,2,28,1,0
Palmerton,5334,2,0,0,0,2,89,10,77,2,0
Palmyra,7609,35,0,1,0,34,61,5,56,0,0
Palo Alto,977,0,0,0,0,0,0,0,0,0,0
Patton,1609,2,0,0,0,2,3,0,3,0,0
Penndel,2140,5,0,0,1,4,4,0,2,2,0
Penn Hills,40809,165,7,18,42,98,820,145,588,87,12
"Penn Township, Butler County",4887,0,0,0,0,0,26,1,19,6,0
Pequea Township,5108,9,0,3,0,6,52,13,37,2,0
Pine Creek Township,3242,0,0,0,0,0,6,0,2,4,0
Plymouth,5780,46,0,5,7,34,79,18,51,10,1
Point Township,3598,2,0,0,0,2,27,5,22,0,0
Portage,2391,1,0,1,0,0,22,4,18,0,0
Port Allegany,2001,1,0,1,0,0,3,1,2,0,0
Port Carbon,1772,1,0,0,0,1,1,0,1,0,0
Portersville,225,0,0,0,0,0,0,0,0,0,0
Pottstown,22705,163,5,31,27,100,705,108,556,41,5
Prospect,1116,0,0,0,0,0,2,1,1,0,0
Pymatuning Township,3057,11,0,0,1,10,38,6,28,4,1
Ralpho Township,4214,12,0,1,0,11,9,0,9,0,0
Ridley Park,7046,7,0,1,1,5,47,7,35,5,1
Roaring Brook Township,1970,0,0,0,0,0,4,1,3,0,0
"Robinson Township, Allegheny County",13711,17,1,1,0,15,283,0,280,3,0
"Robinson Township, Washington County",1890,4,0,1,0,3,17,0,16,1,0
Rosslyn Farms,413,0,0,0,0,0,0,0,0,0,0
Rostraver Township,11005,8,0,1,3,4,245,12,229,4,1
Royersford,4770,8,0,1,2,5,38,3,33,2,0
Ryan Township,2547,0,0,0,0,0,4,0,4,0,0
Salisbury Township,13991,7,0,0,3,4,124,8,113,3,2
Sandy Township,10445,25,0,4,0,21,158,23,130,5,0
Scottdale,4093,9,0,0,2,7,59,8,48,3,1
Scranton,77323,1199,0,45,66,1088,1347,239,1026,82,6
Selinsgrove,5962,20,0,6,2,12,123,16,104,3,1
Shamokin Dam,1723,2,0,0,0,2,3,2,1,0,0
Sharpsville,4091,14,0,3,0,11,53,10,43,0,0
Sinking Spring,4132,7,0,0,1,6,48,11,32,5,0
Smethport,1530,1,0,0,0,1,11,2,9,0,0
Smith Township,4362,12,0,0,0,12,25,9,14,2,0
South Beaver Township,2648,2,0,0,0,2,15,0,11,4,0
South Buffalo Township,2520,1,0,0,0,1,10,1,9,0,0
South Centre Township,4169,2,0,0,0,2,6,0,5,1,0
South Heights,443,0,0,0,0,0,0,0,0,0,0
South Strabane Township,9464,13,0,3,4,6,404,9,388,7,0
Southwest Greensburg,2016,5,0,0,1,4,15,1,14,0,0
"Southwest Regional, Washington County",131,2,0,0,0,2,10,2,8,0,0
Springdale,3294,12,0,2,3,7,45,14,30,1,1
Springettsbury Township,26888,28,0,5,7,16,685,35,626,24,1
"Spring Township, Centre County",7944,3,0,0,0,3,17,0,17,0,0
State College,58633,54,3,11,8,32,548,36,497,15,3
St. Clair Township,1425,0,0,0,0,0,0,0,0,0,0
St. Marys City,12277,26,0,9,1,16,118,19,95,4,1
Stockertown,923,0,0,0,0,0,1,0,1,0,0
Stowe Township,6141,29,3,2,1,23,122,15,98,9,0
"Sugarloaf Township, Luzerne County",3920,1,0,0,0,1,34,6,27,1,0
Summit Township,2116,0,0,0,0,0,0,0,0,0,0
Sunbury,9352,16,0,5,2,9,117,17,91,9,5
"Susquehanna Township, Dauphin County",25238,73,1,10,12,50,274,39,217,18,2
Swarthmore,6428,2,0,1,0,1,30,2,27,1,0
Swatara Township,26643,76,2,9,17,48,786,47,718,21,2
Swissvale,8652,17,1,0,4,12,149,20,120,9,1
Sykesville,1117,0,0,0,0,0,0,0,0,0,0
Throop,3902,12,0,0,0,12,36,12,23,1,0
Tiadaghton Valley Regional,7578,8,0,1,0,7,34,2,32,0,0
"Tinicum Township, Bucks County",3956,3,0,1,1,1,15,3,11,1,0
Tioga,646,0,0,0,0,0,4,0,4,0,0
Tulpehocken Township,3412,1,0,0,0,1,5,0,4,1,0
Tyrone,5160,9,0,0,2,7,69,13,56,0,0
Union City,3126,3,0,1,0,2,35,2,33,0,0
"Union Township, Lawrence County",4863,15,0,0,2,13,187,22,165,0,0
Upper Burrell Township,2220,0,0,0,0,0,10,0,10,0,0
Upper Chichester Township,16925,28,0,5,7,16,265,19,230,16,0
Upper Dublin Township,26624,7,2,1,0,4,147,11,130,6,0
Upper Perkiomen,3876,1,0,1,0,0,41,4,34,3,0
"Upper Providence Township, Delaware County",10437,2,0,1,0,1,21,2,14,5,0
Upper St. Clair Township,19741,1,0,0,0,1,149,5,142,2,0
Valley Township,7934,14,0,0,3,11,77,15,61,1,0
Vandling,705,1,0,1,0,0,1,0,0,1,0
Vintondale,376,0,0,0,0,0,0,0,0,0,0
Wampum,665,0,0,0,0,0,6,1,5,0,0
Warminster Township,32293,27,0,9,12,6,284,14,253,17,
Warren,9054,60,0,3,1,56,134,12,119,3,0
Warrington Township,24607,23,0,1,4,18,164,11,149,4,0
Wayne Township,2458,0,0,0,0,0,9,1,8,0,1
Weissport,396,0,0,0,0,0,1,0,1,0,0
West Brandywine Township,7508,4,0,2,0,2,54,6,42,6,0
West Caln Township,9113,27,0,3,1,23,52,13,30,9,0
West Carroll Township,1203,5,0,1,0,4,4,2,2,0,0
West Cocalico Township,7446,3,0,1,0,2,16,7,9,0,0
West Conshohocken,1435,5,0,2,1,2,20,6,12,2,0
West Cornwall Township,2058,0,0,0,0,0,0,0,0,0,0
West Hazleton,4463,9,0,0,1,8,73,17,50,6,0
West Kittanning,1095,0,0,0,0,0,0,0,0,0,0
West Leechburg,1222,0,0,0,0,0,2,0,2,0,0
West Manchester Township,18860,27,1,3,6,17,480,19,441,20,0
West Norriton Township,15650,38,2,1,13,22,227,20,192,15,0
West Nottingham Township,2700,0,0,0,0,0,0,0,0,0,0
West Pikeland Township,4086,0,0,0,0,0,16,2,12,2,0
West Pottsgrove Township,3876,5,0,0,1,4,81,7,70,4,0
West Reading,4224,30,0,0,3,27,128,9,113,6,0
Westtown-East Goshen Regional,32366,44,0,6,2,36,173,11,155,7,0
West Vincent Township,5887,2,0,0,0,2,16,5,11,0,0
West Whiteland Township,18389,9,0,6,1,2,373,8,359,6,1
Whitpain Township,19294,9,0,0,8,1,132,9,122,1,0
Wilkes-Barre,40722,242,3,24,68,147,852,194,616,42,2
Wilkinsburg,15389,120,11,6,22,81,403,75,262,66,1
Wilkins Township,6137,3,0,0,2,1,129,10,108,11,0
Williamsburg,1174,0,0,0,0,0,16,5,10,1,0
Wilson,7822,21,1,4,2,14,144,11,126,7,0
Womelsdorf,2899,1,0,0,0,1,10,1,9,0,0
Worthington,592,0,0,0,0,0,0,0,0,0,0
Wyomissing,10504,18,1,4,6,7,199,8,188,3,1
