City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
New Philadelphia,17434,8,0,0,0,8,242,4,232,6,1
New Richmond,2700,6,0,2,0,4,26,4,19,3,0
Newton Falls,4481,11,0,3,1,7,47,8,35,4,0
Newtown,2666,0,0,0,0,0,20,1,19,0,0
Niles,18222,70,2,8,16,44,465,46,400,19,0
North Baltimore,3557,3,0,2,0,1,14,6,7,1,0
North Canton,17251,15,0,5,1,9,234,26,204,4,1
North College Hill,9271,31,0,3,13,15,252,38,193,21,0
Northfield,3670,5,0,1,1,3,29,2,26,1,0
North Olmsted,31421,8,0,0,0,8,389,22,354,13,1
North Ridgeville,34469,13,0,3,1,9,112,23,80,9,1
North Royalton,30177,17,0,6,1,10,119,22,93,4,1
Northwood,5445,12,0,6,3,3,107,21,79,7,1
Norton,12007,18,0,3,2,13,190,36,134,20,0
Norwalk,16903,15,0,8,1,6,262,40,218,4,2
Oak Harbor,2728,1,1,0,0,0,25,2,22,1,0
Oberlin,8302,16,0,8,7,1,172,31,140,1,5
Olmsted Falls,8861,4,1,0,1,2,18,5,12,1,1
Olmsted Township,13432,1,0,0,0,1,30,2,26,2,0
Ontario,6067,7,0,2,0,5,246,3,241,2,0
Oregon,19868,45,0,11,7,27,645,44,581,20,0
Orrville,8461,21,0,8,2,11,78,13,61,4,1
Ottawa,4317,1,0,0,0,1,8,1,6,1,0
Ottawa Hills,4471,0,0,0,0,0,34,3,24,7,0
Oxford Township,2224,0,0,0,0,0,13,2,9,2,0
Parma,78322,112,0,28,11,73,759,130,572,57,6
Peninsula,558,0,0,0,0,0,9,0,9,0,0
Pepper Pike,6371,5,0,0,1,4,28,6,22,0,0
Perrysburg,21672,3,0,3,0,0,123,9,112,2,0
Perrysburg Township,13013,3,0,0,0,3,127,13,109,5,0
"Perry Township, Franklin County",3788,2,0,0,0,2,32,4,27,1,0
"Perry Township, Stark County",28121,42,0,12,7,23,411,101,283,27,2
Pickerington,21590,29,0,9,7,13,222,23,187,12,1
Pierce Township,11742,11,0,7,1,3,228,14,209,5,1
Pioneer,1395,1,0,0,0,1,40,13,26,1,0
Poland Township,11859,6,0,0,0,6,35,11,24,0,1
Poland Village,2420,0,0,0,0,0,6,0,6,0,0
Port Clinton,5914,15,0,7,1,7,109,13,91,5,1
Powell,13545,2,0,2,0,0,84,7,75,2,0
Reading,10995,20,0,2,8,10,261,36,217,8,0
Reminderville,4528,0,0,0,0,0,10,3,7,0,0
Reynoldsburg,38578,73,2,21,26,24,988,91,833,64,1
Richmond Heights,10346,32,1,1,10,20,168,36,109,23,3
Rio Grande,766,2,0,1,0,1,10,3,6,1,0
Ripley,1695,4,0,1,0,3,13,2,10,1,0
Riverside,25148,35,0,9,12,14,343,69,231,43,1
Ross Township,8944,7,0,3,0,4,69,16,45,8,0
Russells Point,1377,2,0,0,0,2,22,4,18,0,0
Russell Township,5219,1,0,0,0,1,13,0,13,0,0
Sabina,2544,5,0,1,1,3,86,15,71,0,0
Sagamore Hills,10934,0,0,0,0,0,30,5,24,1,0
Salem,11644,22,0,3,2,17,341,35,299,7,0
Salineville,1219,2,0,0,0,2,44,8,29,7,1
Sandusky,24572,74,0,31,22,21,925,175,710,40,4
Sebring,4200,5,0,0,0,5,94,10,80,4,2
Seven Hills,11621,7,0,1,4,2,37,6,30,1,0
Shawnee Township,12056,10,0,3,1,6,98,12,84,2,0
Sheffield Lake,8939,6,1,5,0,0,70,17,53,0,1
Shelby,8997,16,0,6,1,9,231,53,169,9,0
Sidney,20437,39,0,20,8,11,631,85,514,32,6
Solon,22830,11,0,3,1,7,217,19,190,8,0
Somerset,1456,0,0,0,0,0,15,3,10,2,0
South Bloomfield,1997,5,0,0,2,3,29,3,24,2,0
South Euclid,21351,27,0,9,6,12,583,42,496,45,0
South Russell,3767,0,0,0,0,0,4,0,4,0,0
Springboro,18975,1,0,0,0,1,66,15,50,1,0
Springfield,59128,292,3,14,124,151,2992,763,1978,251,49
"Springfield Township, Hamilton County",36696,50,2,4,18,26,485,85,368,32,5
"Springfield Township, Mahoning County",6415,10,0,2,1,7,47,13,31,3,0
"Springfield Township, Summit County",14555,36,1,10,9,16,631,88,528,15,2
St. Clair Township,7482,5,0,1,1,3,51,5,46,0,0
Steubenville,17768,33,3,6,9,15,803,55,735,13,5
St. Marys,8212,1,0,0,0,1,82,17,64,1,0
Stow,34862,15,0,8,1,6,537,56,475,6,1
Strasburg,2691,1,0,0,0,1,11,1,9,1,0
Streetsboro,16561,20,0,2,8,10,227,16,193,18,3
Strongsville,44814,18,0,1,6,11,585,36,541,8,0
Struthers,10148,18,0,5,7,6,152,31,119,2,2
Sugarcreek Township,8494,5,0,3,1,1,166,10,154,2,0
Swanton,3857,2,0,0,0,2,36,1,34,1,1
Sylvania,19046,13,0,4,0,9,166,17,142,7,0
Sylvania Township,29754,34,0,2,10,22,678,61,596,21,0
Tallmadge,17583,12,0,5,2,5,239,37,192,10,0
Tiffin,17498,9,0,3,3,3,354,37,312,5,2
Toledo5,273505,2604,34,205,655,1710,9470,2362,6314,794,
Toronto,4919,9,0,2,0,7,13,5,8,0,0
Trotwood,24435,133,2,18,40,73,659,169,392,98,7
Troy,26250,23,0,6,4,13,433,56,369,8,1
Twinsburg,19103,17,1,1,4,11,92,9,80,3,0
Uhrichsville,5317,9,0,3,1,5,53,12,38,3,1
Uniontown,3353,1,0,0,0,1,67,10,52,5,0
"Union Township, Clermont County",48486,48,0,17,11,20,1040,61,949,30,1
University Heights,12852,19,0,2,9,8,237,20,203,14,2
Upper Arlington,35754,12,5,1,5,1,366,52,299,15,1
Upper Sandusky,6467,15,0,8,0,7,123,11,110,2,0
Urbana,11309,15,0,8,2,5,275,28,237,10,7
Utica,2253,2,0,0,1,1,18,3,13,2,0
Van Wert,10662,23,0,10,0,13,336,63,267,6,3
Vermilion,10420,2,0,1,0,1,91,15,75,1,0
Vienna Township,3784,3,0,0,0,3,48,13,28,7,0
Village of Leesburg,1308,0,0,0,0,0,39,12,25,2,0
Wadsworth,24058,15,1,9,0,5,413,69,338,6,1
Waite Hill,454,0,0,0,0,0,0,0,0,0,0
Wapakoneta,9717,2,0,2,0,0,137,9,124,4,0
Warren,38012,212,5,35,68,104,1478,431,941,106,7
Warren Township,5169,24,0,0,0,24,83,27,51,5,2
Washington Court House,14150,39,0,21,3,15,504,55,430,19,1
Waterville,5518,3,0,0,1,2,28,5,21,2,0
Waterville Township,1705,0,0,0,0,0,3,1,2,0,0
Wauseon,7428,14,0,4,1,9,142,9,127,6,0
Waverly,4253,6,0,0,4,2,90,6,78,6,0
Weathersfield,8017,9,0,3,1,5,86,23,61,2,1
Wellston,5488,13,0,0,1,12,194,54,128,12,1
West Carrollton4,12886,45,0,9,17,19,233,47,163,23,2
West Chester Township,62517,67,4,22,22,19,1220,124,1048,48,5
Westerville,40903,74,3,18,16,37,767,53,692,22,3
West Union,3153,3,0,0,0,3,21,7,11,3,0
Whitehall,19121,114,6,23,45,40,1102,139,884,79,6
Whitehouse,4887,2,0,0,0,2,9,2,6,1,0
Wickliffe,12758,16,0,6,2,8,174,13,149,12,1
Willard,6021,3,0,0,0,3,144,16,123,5,0
Williamsburg,2569,5,0,0,1,4,44,7,35,2,1
Willoughby,23081,19,0,5,5,9,321,30,276,15,2
Wilmington,12391,26,0,9,6,11,651,90,537,24,1
Windham,2210,4,0,1,0,3,16,5,11,0,0
Wintersville,3665,6,0,0,1,5,46,4,41,1,0
Woodlawn,3346,6,0,2,0,4,81,7,72,2,0
Wooster,26615,110,0,29,15,66,738,97,614,27,7
Worthington,14875,10,0,5,0,5,236,31,200,5,1
Wyoming,8596,2,0,0,0,2,121,7,109,5,0
Xenia,26926,74,0,23,10,41,676,79,556,41,2
Yellow Springs,3727,7,0,0,2,5,94,20,72,2,1
Zanesville,25346,89,1,23,16,49,1071,126,912,33,3
