City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Chisholm,4875,6,0,1,0,5,59,5,50,4,0
Clara City,1282,1,0,1,0,0,3,0,3,0,0
Clearbrook,520,3,0,1,0,2,24,9,15,0,0
Cleveland,726,0,0,0,0,0,12,0,12,0,0
Cloquet,12009,10,0,1,1,8,277,9,258,10,0
Cold Spring/Richmond,5656,3,0,1,0,2,29,3,24,2,0
Columbia Heights3,20632,60,0,10,25,25,486,51,386,49,2
Comfrey3,353,0,0,0,0,0,2,0,2,0,0
Corcoran,6195,0,0,0,0,0,41,8,29,4,0
Cottage Grove,37534,29,0,16,5,8,590,50,509,31,0
Crookston3,7794,23,0,6,0,17,179,24,151,4,0
Crosby,2335,0,0,0,0,0,14,1,12,1,0
Crosslake,2294,0,0,0,0,0,8,3,5,0,0
Crystal,23184,60,1,14,19,26,602,51,506,45,1
Danube,457,3,0,0,0,3,5,1,4,0,0
Dawson/Boyd3,1547,0,0,0,0,0,4,1,3,0,0
Dayton,6542,1,0,0,0,1,42,6,25,11,0
Deephaven,3980,1,0,0,0,1,26,3,22,1,0
Deer River3,933,3,0,1,0,2,18,2,16,0,0
Detroit Lakes,9362,14,0,3,3,8,269,18,243,8,0
Dilworth,4491,6,0,1,5,0,275,15,250,10,0
Duluth,85846,292,2,37,69,184,3670,481,2977,212,16
Dundas,1623,0,0,0,0,0,12,1,11,0,0
Eagan,66824,39,0,12,12,15,1294,93,1129,72,1
Eagle Lake,3195,4,0,2,0,2,15,5,8,2,0
East Grand Forks3,8597,11,0,1,1,9,100,17,70,13,1
East Range,3590,8,0,3,0,5,37,7,26,4,0
Eden Prairie,64777,52,0,13,14,25,700,68,610,22,3
Eden Valley,1035,0,0,0,0,0,1,0,1,0,0
Edina,53076,47,0,15,15,17,983,140,794,49,3
Elko New Market,4783,1,0,0,0,1,21,1,18,2,0
Elk River,25081,15,0,5,1,9,403,36,350,17,0
Ely,3344,2,0,2,0,0,40,6,31,3,0
Eveleth,3582,11,0,5,1,5,108,20,81,7,0
Fairfax,1127,3,0,0,0,3,14,0,14,0,1
Fairmont,10023,26,0,10,1,15,212,39,164,9,0
Faribault,23913,61,0,15,8,38,470,99,337,34,5
Farmington,23335,12,0,0,1,11,177,24,138,15,0
Fergus Falls,13900,47,0,10,4,33,613,60,527,26,1
Floodwood,523,1,0,0,0,1,7,0,7,0,0
Foley,2671,0,0,0,0,0,36,9,27,0,0
Forest Lake,20457,30,0,15,3,12,624,69,527,28,1
Fridley3,27805,88,1,17,20,50,1036,103,856,77,5
Fulda3,1209,0,0,0,0,0,7,2,5,0,0
Gaylord,2236,9,0,5,0,4,39,11,27,1,1
Gilbert,1788,3,0,2,0,1,56,5,50,1,1
Glencoe,5444,5,0,0,0,5,49,12,36,1,0
Glenwood,2593,3,0,0,0,3,35,3,32,0,0
Golden Valley,21934,18,0,5,7,6,463,65,362,36,1
Goodview,4149,3,0,0,0,3,50,10,36,4,0
Grand Rapids3,11267,20,0,4,0,16,171,11,154,6,3
Granite Falls,2700,3,0,0,0,3,51,4,42,5,0
Hallock,899,0,0,0,0,0,0,0,0,0,0
Hastings,22774,39,0,10,2,27,451,58,360,33,0
Hawley,2223,1,0,0,0,1,6,4,2,0,0
Hector,1045,0,0,0,0,0,10,0,9,1,1
Henning,814,0,0,0,0,0,2,0,2,0,0
Hermantown,9770,9,0,4,0,5,618,25,581,12,1
Hibbing,15895,41,1,12,0,28,166,19,126,21,1
Hill City3,585,1,0,0,0,1,18,1,16,1,0
Hokah3,543,0,0,0,0,0,0,0,0,0,0
Hopkins,18735,33,1,9,5,18,292,47,218,27,1
Houston3,963,0,0,0,0,0,0,0,0,0,0
Howard Lake,2091,1,0,0,0,1,4,0,4,0,0
Hutchinson,13960,31,0,7,4,20,236,32,197,7,0
International Falls,5871,13,0,2,1,10,74,8,64,2,1
Inver Grove Heights,35668,78,0,23,9,46,650,90,487,73,4
Isanti,5985,6,0,1,0,5,80,8,70,2,0
Isle,803,3,0,0,0,3,62,7,52,3,0
Janesville,2261,5,0,1,0,4,37,14,21,2,0
Jordan,6384,4,0,1,1,2,45,5,38,2,0
Kasson3,6514,6,0,0,0,6,51,3,45,3,0
Kimball,797,0,0,0,0,0,0,0,0,0,0
La Crescent3,4981,2,0,0,0,2,23,3,20,0,1
Lake City,5140,4,0,2,0,2,58,7,48,3,0
Lake Crystal,2496,5,0,1,0,4,30,6,22,2,0
Lakes Area,9833,11,0,5,0,6,163,23,130,10,0
Lake Shore3,1056,0,0,0,0,0,6,3,3,0,0
Lakeville,67206,45,0,18,6,21,564,52,496,16,4
Lamberton,766,0,0,0,0,0,0,0,0,0,0
Lauderdale,2548,3,0,1,0,2,50,10,36,4,0
Le Center,2482,0,0,0,0,0,8,1,7,0,0
Lester Prairie,1722,0,0,0,0,0,14,2,11,1,0
Le Sueur,4016,0,0,0,0,0,32,6,25,1,0
Lewiston,1558,0,0,0,0,0,6,3,3,0,0
Lino Lakes3,21925,19,0,5,2,12,130,18,103,9,0
Litchfield,6632,12,0,2,0,10,128,12,105,11,0
Little Falls,8669,7,0,0,0,7,199,23,166,10,1
Long Prairie,3297,5,0,1,0,4,50,2,48,0,0
Lonsdale,4141,1,0,1,0,0,12,1,10,1,0
Madelia3,2266,3,0,3,0,0,21,2,19,0,0
Mankato,42955,110,0,29,12,69,1462,186,1217,59,3
Maple Grove,73170,58,2,20,8,28,1107,72,998,37,4
Mapleton,2203,1,0,1,0,0,19,3,16,0,0
Maplewood,41341,158,1,18,32,107,2080,276,1627,177,6
Marshall3,13511,21,0,8,0,13,161,31,122,8,0
McGregor3,363,0,0,0,0,0,0,0,0,0,0
Medina,6852,1,0,0,0,1,91,11,79,1,0
Melrose,3642,2,0,0,1,1,27,2,22,3,0
Mendota Heights,11373,15,0,2,2,11,153,32,114,7,0
Milaca,2909,10,0,1,1,8,122,6,103,13,0
Minneapolis3,431016,3990,46,459,1289,2196,19469,3397,13172,2900,75
Minneota3,1360,1,0,0,0,1,5,0,5,0,0
Minnetonka,54497,30,0,8,7,15,772,91,643,38,0
Minnetrista,10527,3,0,0,1,2,76,7,64,5,0
Montevideo,5071,9,0,3,0,6,24,10,11,3,0
Montgomery,2995,0,0,0,0,0,17,3,13,1,0
Moose Lake,2821,4,0,0,0,4,51,2,48,1,0
Morris,5360,2,0,2,0,0,70,16,51,3,0
Motley,650,0,0,0,0,0,54,8,46,0,
Mounds View,13307,27,0,4,4,19,303,31,250,22,2
Mountain Lake3,2047,2,0,1,0,1,14,4,6,4,1
New Brighton,23058,31,1,2,7,21,442,48,360,34,2
New Hope,21147,20,0,1,12,7,581,64,468,49,1
New Prague,8326,8,0,3,1,4,69,12,57,0,1
New Richland,1188,0,0,0,0,0,32,6,26,0,0
New Ulm3,13205,8,0,2,0,6,116,12,96,8,1
New York Mills,1228,0,0,0,0,0,7,1,3,3,0
Nisswa,2066,0,0,0,0,0,1,0,1,0,0
North Branch,10641,14,0,1,1,12,174,29,135,10,0
Northfield,20707,12,0,7,1,4,152,17,129,6,0
North Mankato,13977,14,0,5,2,7,124,16,99,9,0
North St. Paul,12595,20,0,5,8,7,312,36,240,36,0
Oakdale,28097,36,0,8,15,13,719,70,586,63,0
Oak Park Heights,4972,2,0,2,0,0,241,14,217,10,0
Olivia,2328,8,0,4,0,4,48,6,39,3,0
Onamia,861,3,0,1,0,2,28,4,22,2,0
Orono,20349,14,1,6,2,5,126,25,101,0,0
Ortonville,1774,1,0,1,0,0,19,6,10,3,0
Osakis,1750,2,0,0,0,2,15,3,11,1,0
Osseo,2801,0,0,0,0,0,1,0,1,0,0
Owatonna,25792,27,0,8,1,18,403,31,339,33,1
Park Rapids,4262,16,0,5,0,11,260,23,230,7,0
Paynesville,2510,2,1,0,0,1,1,1,0,0,0
Pelican Rapids,2507,3,0,1,0,2,5,1,2,2,0
Pequot Lakes,2328,2,0,0,0,2,60,1,59,0,0
Perham,3625,5,0,2,0,3,5,0,3,2,0
Pillager3,482,0,0,0,0,0,13,3,10,0,0
Pine River3,925,1,0,1,0,0,56,5,51,0,0
Plainview,3295,1,0,1,0,0,22,6,15,1,0
Plymouth,80616,37,0,8,5,24,938,152,742,44,2
Preston,1290,0,0,0,0,0,3,0,3,0,0
Princeton,4711,5,0,1,1,3,159,8,149,2,0
Prior Lake,27362,42,0,12,7,23,603,50,528,25,0
Proctor,3038,5,0,3,0,2,91,9,80,2,0
Ramsey3,27358,24,0,12,0,12,286,21,246,19,0
Red Wing,16408,38,1,3,4,30,426,66,323,37,3
Redwood Falls,4951,12,0,3,0,9,143,15,121,7,0
Renville,1177,2,0,1,0,1,19,2,12,5,0
Rice,1389,0,0,0,0,0,11,2,8,1,0
Richfield,36100,73,0,12,23,38,850,113,649,88,2
Robbinsdale,14555,56,0,10,14,32,426,47,337,42,0
Rochester3,118267,254,1,62,34,157,2225,282,1816,127,3
Rogers,13417,11,0,3,2,6,225,13,200,12,0
Roseau,2665,2,0,0,0,2,25,1,20,4,0
Rosemount,24961,21,0,8,1,12,146,17,126,3,0
Roseville,36750,83,0,14,34,35,2164,162,1885,117,6
Rushford,1703,0,0,0,0,0,0,0,0,0,0
Sauk Centre,4492,4,0,1,0,3,102,6,92,4,0
Sauk Rapids,14015,13,0,1,0,12,284,30,243,11,0
Savage,32336,35,0,12,3,20,404,63,327,14,4
Shakopee,41892,81,0,31,9,41,745,75,627,43,1
Silver Bay,1764,0,0,0,0,0,0,0,0,0,0
Silver Lake,813,0,0,0,0,0,12,0,11,1,0
Slayton3,1979,0,0,0,0,0,2,1,1,0,0
Sleepy Eye3,3347,6,0,3,0,3,17,3,12,2,1
South Lake Minnetonka,12762,12,0,5,2,5,88,16,68,4,0
South St. Paul,20148,46,0,18,5,23,481,71,355,55,2
Springfield3,1999,0,0,0,0,0,20,2,17,1,0
Spring Grove3,1264,0,0,0,0,0,19,1,17,1,0
Spring Lake Park3,6994,19,1,2,2,14,195,29,151,15,0
St. Anthony,9172,9,0,4,2,3,197,31,154,12,1
Staples,2945,5,0,3,0,2,62,6,53,3,0
Starbuck,1255,2,0,2,0,0,46,5,40,1,0
St. Charles,3773,3,0,1,0,2,37,4,29,4,0
St. Cloud,68311,298,0,73,50,175,2443,225,2044,174,10
St. Francis3,7894,19,0,3,0,16,95,12,81,2,0
St. James3,4426,6,0,1,0,5,73,11,55,7,1
St. Joseph,7227,7,0,1,0,6,49,6,39,4,0
St. Louis Park,49535,89,0,19,20,50,1396,130,1175,91,2
St. Paul,310263,1752,28,236,542,946,11208,2038,6751,2419,118
St. Paul Park,5410,11,0,1,1,9,147,20,116,11,1
St. Peter,12032,16,0,6,0,10,128,13,112,3,0
Thief River Falls,8825,6,0,4,0,2,132,23,104,5,1
Tracy3,2094,2,0,0,0,2,30,10,19,1,0
Twin Valley,761,0,0,0,0,0,0,0,0,0,0
Two Harbors,3523,0,0,0,0,0,5,0,5,0,0
Virginia,8398,41,0,7,3,31,315,51,239,25,0
Wabasha,2471,5,0,0,0,5,39,8,25,6,0
Wadena,4097,10,0,4,0,6,76,4,69,3,0
Waite Park,7764,33,0,0,7,26,644,39,579,26,1
Walker3,930,2,0,0,0,2,42,4,35,3,0
Warroad,1796,4,0,0,0,4,25,1,24,0,0
Waseca,8841,15,0,4,0,11,159,15,141,3,0
Waterville,1874,2,0,0,0,2,11,1,9,1,0
Wayzata,6560,1,0,0,1,0,98,13,77,8,1
Wells,2170,2,0,0,0,2,6,0,4,2,0
West Concord3,768,0,0,0,0,0,10,5,4,1,0
West Hennepin,5670,2,0,0,0,2,28,5,22,1,0
West St. Paul,19694,82,1,8,28,45,1373,101,1184,88,4
Wheaton3,1295,1,0,1,0,0,26,4,20,2,0
White Bear Lake,26176,35,0,8,12,15,609,93,461,55,4
Willmar,19684,84,0,29,6,49,419,53,335,31,2
Windom3,4393,33,0,6,1,26,61,8,45,8,0
Winona,26720,30,0,10,6,14,644,51,573,20,1
Winsted,2247,1,0,0,0,1,16,1,14,1,0
Woodbury,72527,45,2,26,10,7,1264,145,1092,27,2
Worthington,13329,31,0,10,2,19,130,31,80,19,0
Wyoming,7993,4,0,0,0,4,68,6,56,6,0
Zumbrota,3477,2,0,1,0,1,42,5,33,4,0
