City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Swansea,16681,34,0,5,1,28,118,17,97,4,0
Taunton,57028,217,2,15,17,183,345,86,238,21,3
Templeton,8109,13,0,2,0,11,22,6,12,4,0
Tewksbury,31424,81,0,23,7,51,345,19,308,18,1
Tisbury,4116,30,0,3,0,27,31,6,23,2,1
Topsfield,6644,5,0,1,0,4,10,2,7,1,0
Townsend,9546,10,0,2,0,8,32,4,21,7,0
Truro,1984,5,0,1,0,4,5,0,5,0,0
Tyngsboro,12456,19,0,4,3,12,47,5,31,11,0
Uxbridge,14066,20,0,3,2,15,74,18,48,8,1
Wakefield,27178,37,0,3,3,31,164,25,127,12,0
Wales,1894,2,0,1,0,1,5,3,2,0,1
Walpole,25150,49,0,11,1,37,257,25,220,12,0
Waltham,62737,102,0,13,7,82,512,70,420,22,5
Ware,9804,49,0,1,6,42,83,9,64,10,0
Wareham,22592,161,1,23,9,128,322,51,251,20,0
Watertown,36189,29,0,10,2,17,319,36,269,14,0
Wayland,13891,0,0,0,0,0,1,1,0,0,0
Webster,16925,122,0,16,3,103,208,39,158,11,0
Wellesley,29651,7,0,0,0,7,120,15,104,1,0
Wellfleet,2705,0,0,0,0,0,25,6,19,0,0
Wenham,5295,0,0,0,0,0,8,1,6,1,0
Westborough,19155,24,0,8,0,16,200,33,163,4,1
West Boylston,8216,11,0,0,2,9,47,13,27,7,0
West Bridgewater,7248,9,0,1,0,8,71,16,48,7,1
Westfield,41507,83,3,15,7,58,398,52,324,22,1
Westford,24403,10,0,0,1,9,54,5,45,4,0
Westminster,7902,20,0,1,0,19,43,5,36,2,0
Weston,12138,9,0,2,0,7,28,3,24,1,0
Westport,15920,21,0,4,0,17,111,27,74,10,1
West Springfield,28628,138,0,18,15,105,969,101,814,54,2
West Tisbury,2911,7,0,1,0,6,17,2,11,4,0
Westwood,16199,10,0,1,3,6,166,14,148,4,0
Weymouth,57776,170,0,21,9,140,462,44,386,32,0
Whately,1589,1,0,0,0,1,17,2,10,5,0
Whitman,15134,33,0,3,3,27,104,21,76,7,2
Wilbraham,14730,21,0,1,0,20,220,58,155,7,0
Williamsburg,2489,2,0,1,0,1,18,4,14,0,0
Williamstown,8021,6,0,4,0,2,71,3,66,2,0
Wilmington,23915,32,0,5,1,26,154,15,124,15,0
Winchendon,10897,37,0,9,0,28,100,30,57,13,1
Winchester,22850,7,0,0,0,7,88,10,74,4,1
Winthrop,18692,37,0,2,6,29,129,11,102,16,0
Woburn,40251,70,0,2,10,58,414,46,323,45,1
Worcester,184945,1165,13,40,229,883,3792,786,2637,369,6
Worthington,1191,0,0,0,0,0,0,0,0,0,0
Wrentham,11989,4,0,2,0,2,178,18,153,7,0
Yarmouth,23076,96,0,19,3,74,229,38,186,5,0
