County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Bexar County,1733709,San Antonio,Texas,2999,$58063,28%,34,$298441,1751,$168,37,60%,$1077,56%,314,1918,16%,5%,64%,53%,40%,3%,7%,26%,61%,13%,Central Standard Time,96,63,32,32,0,8,57,6,29.474063622975883,-98.51514154066838,57%,69%,51%,55%,53%,36,55,69,74,39,7.32,5.5,21%,16%,22%,0
Alameda County,1657409,Oakland,California,6000,$108434,48%,37,$1068031,1553,$681,54,56%,$1996,49%,563,3978,9%,4%,67%,78%,14%,31%,10%,30%,22%,32%,Pacific Standard Time,79,58,20,17,0,7,53,5,37.69420803709513,-122.09716631417768,67%,69%,60%,67%,66%,2,46,51,57,42,0.19,9.24,15%,1%,30%,0
New York (Manhattan) County,1653877,Manhattan,New York,72443,$71656,N/A%,N/A,$1153000,794,$1452,67,20%,$4072,63%,N/A,N/A,N/A%,3%,N/A%,86%,9%,N/A%,N/A%,N/A%,26%,N/A%,Eastern Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,10,3,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
Philadelphia County,1581531,Philadelphia,Pennsylvania,11771,$49127,31%,35,$250000,1302,$192,72,55%,$1084,65%,N/A,N/A,23%,8%,61%,82%,15%,7%,41%,34%,15%,14%,Eastern Standard Time,90,43,47,51,25,7,39,3,40.007636,-75.1339447,55%,62%,50%,54%,53%,28,42,62,72,28,15.83,11.18,35%,34%,36%,10
Nassau County,1574046,North Hempstead,New York,7952,$123055,48%,41,$760515,1729,$432,65,82%,$2020,43%,N/A,N/A,5%,3%,65%,51%,45%,11%,10%,59%,16%,22%,Eastern Standard Time,85,40,44,48,27,7,50,3,40.72942430198299,-73.61605610977672,57%,62%,55%,57%,57%,25,41,61,70,26,12.93,11.98,33%,33%,34%,10
Middlesex County,1568339,Cambridge,Massachusetts,6246,$106969,57%,37,$772562,1854,$423,62,64%,$1870,48%,99,355,8%,3%,70%,65%,27%,12%,5%,67%,8%,24%,Eastern Standard Time,85,37,47,49,58,6,61,3,42.44673555226237,-71.24541891526562,57%,65%,53%,57%,57%,18,38,58,64,20,12.66,12.44,36%,36%,36%,21
Sacramento County,1519812,Sacramento,California,4782,$73333,31%,36,$499182,1565,$318,40,58%,$1402,51%,445,2552,13%,6%,63%,58%,33%,16%,9%,43%,23%,20%,Pacific Standard Time,94,56,37,19,0,6,31,5,38.5720273415352,-121.37375925960468,77%,96%,51%,45%,29%,4,46,51,61,39,0.19,10.23,15%,1%,30%,0
Suffolk County,1484090,Brentwood,New York,3299,$108255,37%,42,$614160,1803,$338,51,83%,$1888,47%,29,678,6%,4%,65%,44%,51%,4%,7%,66%,19%,15%,Eastern Standard Time,83,39,43,47,36,7,69,3,40.81961752045106,-73.11554461503064,57%,62%,56%,58%,59%,20,41,61,67,25,12.37,11.82,33%,32%,35%,12
Franklin County,1477529,Columbus,Ohio,20470,$67269,39%,33,$271243,1614,$165,39,57%,$1036,54%,N/A,N/A,15%,4%,70%,59%,33%,5%,23%,60%,5%,11%,Eastern Standard Time,85,37,47,43,27,7,49,5,39.987018856373716,-82.98705221486784,45%,54%,35%,58%,55%,38,41,61,64,21,12.98,8.77,39%,37%,42%,21
Bronx County,1455846,The Bronx,New York,34581,$34284,N/A%,N/A,N/A,N/A,N/A,67,18%,N/A,63%,N/A,N/A,N/A%,6%,N/A%,88%,9%,N/A%,N/A%,N/A%,55%,N/A%,Eastern Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,24,3,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
Pima County,1443740,Tucson,Arizona,17398,$51613,29%,36,$338761,1585,$212,38,59%,$940,57%,N/A,N/A,18%,7%,59%,53%,39%,3%,4%,47%,41%,13%,Mountain Standard Time,101,65,36,12,0,7,60,6,32.173406398781566,-110.9187373536283,85%,86%,80%,23%,24%,43,37,50,71,40,5.74,2.86,12%,20%,12%,0
DuPage County,1352313,Naperville,Illinois,30008,$100049,54%,39,$399762,1944,$204,41,75%,$1421,42%,99,1207,5%,4%,68%,53%,38%,13%,4%,66%,12%,19%,Central Standard Time,85,31,53,42,41,8,59,3,41.83877588718233,-88.07229582533378,52%,65%,39%,60%,56%,38,39,59,62,15,13.52,7.15,34%,35%,33%,26
Allegheny County,1310021,Pittsburgh,Pennsylvania,5735,$65184,41%,39,$227077,1505,$149,60,66%,$943,51%,N/A,N/A,13%,4%,64%,55%,39%,4%,14%,74%,2%,6%,Eastern Standard Time,83,37,46,44,37,7,48,3,40.448339452400454,-79.97549723758301,42%,52%,29%,57%,54%,34,39,58,64,21,13.65,9.76,43%,41%,48%,31
Hillsborough County,1302052,Tampa,Florida,3084,$62691,34%,37,$387202,1703,$227,31,60%,$1255,53%,396,1747,14%,5%,65%,51%,44%,4%,17%,46%,29%,18%,Eastern Standard Time,92,71,20,54,0,6,54,6,27.961220924325534,-82.41350430657472,69%,67%,65%,58%,62%,82,62,72,75,52,27.65,7.27,31%,55%,21%,0
Oakland County,1254448,Troy,Michigan,2656,$79148,48%,40,$319736,1687,$186,45,71%,$1170,47%,202,985,8%,4%,66%,51%,43%,9%,17%,67%,3%,14%,Eastern Standard Time,82,31,51,35,58,8,67,3,42.58463348550406,-83.31299839231632,52%,67%,39%,59%,54%,32,38,58,62,17,10.4,6.54,36%,33%,37%,44
Hennepin County,1180795,Minneapolis,Minnesota,4581,$84976,50%,37,$388184,1980,$193,52,66%,$1235,51%,166,2210,10%,4%,72%,63%,28%,7%,13%,66%,7%,14%,Central Standard Time,84,23,60,32,52,8,33,3,44.97884099855885,-93.35999434959399,50%,60%,45%,64%,60%,39,34,58,64,8,13.15,3.15,31%,33%,27%,30
Lake County,1160139,Waukegan,Illinois,18766,$95659,46%,38,$327914,1861,$168,39,72%,$1363,43%,57,804,8%,4%,68%,56%,36%,7%,7%,55%,21%,19%,Central Standard Time,82,31,51,40,47,8,68,3,42.306908935637814,-87.95967867389166,52%,65%,39%,60%,56%,37,38,58,63,15,13.26,6.43,35%,36%,32%,27
Salt Lake County,1138949,Salt Lake City,Utah,3521,$80365,35%,33,$540817,2140,$256,38,71%,$1239,46%,142,1621,8%,3%,71%,41%,32%,4%,1%,70%,18%,12%,Mountain Standard Time,92,38,54,19,54,8,67,4,40.64210275263879,-111.93666734054527,66%,83%,47%,43%,23%,39,33,44,68,23,2.67,5.12,25%,14%,33%,24
Travis County,1119375,Austin,Texas,2871,$78834,52%,34,$582287,1784,$323,29,53%,$1371,54%,396,3673,11%,4%,73%,65%,27%,7%,8%,48%,32%,17%,Central Standard Time,99,62,36,35,0,6,59,6,30.311934491942647,-97.74796622964425,58%,69%,52%,55%,51%,41,55,68,75,40,7.5,6.27,22%,17%,23%,0
Contra Costa County,1112599,Concord,California,4057,$111557,42%,40,$910701,1739,$515,43,66%,$2021,46%,377,2610,8%,5%,65%,67%,24%,17%,8%,42%,26%,25%,Pacific Standard Time,85,57,28,18,0,7,61,5,37.93917817730045,-122.03377893359468,67%,70%,59%,62%,58%,3,46,51,58,41,0.22,10.21,16%,1%,31%,0
Westchester County,1107103,Yonkers,New York,5891,$104364,51%,40,$688546,1957,$339,62,63%,$1766,47%,14,401,8%,5%,65%,64%,31%,6%,13%,48%,23%,26%,Eastern Standard Time,84,38,46,49,30,7,46,3,41.05360057278058,-73.80661750199839,58%,63%,57%,55%,54%,24,41,61,67,23,14.14,10.98,35%,36%,34%,10
Fairfax County,1087270,Centreville,Virginia,4971,$132067,61%,38,$686275,2142,$318,40,68%,$2116,43%,203,1046,5%,4%,71%,64%,28%,19%,9%,50%,16%,30%,Eastern Standard Time,87,43,44,47,16,7,42,4,38.842465668095564,-77.25487727072783,55%,61%,52%,53%,53%,26,43,63,68,26,14.11,9.51,33%,33%,34%,6
Cuyahoga County,1063959,Cleveland,Ohio,4050,$53676,30%,40,$186909,1558,$116,65,59%,$883,60%,N/A,N/A,18%,8%,62%,65%,30%,2%,30%,56%,6%,7%,Eastern Standard Time,82,36,45,41,55,8,57,3,41.45493753820119,-81.68746885589549,47%,64%,31%,61%,57%,33,40,59,67,23,11.71,7.78,41%,36%,45%,41
Orange County,1049079,Orlando,Florida,3182,$66756,36%,35,$412059,1805,$225,29,57%,$1356,53%,562,3900,14%,5%,67%,59%,35%,5%,22%,40%,30%,22%,Eastern Standard Time,92,71,20,51,0,7,48,6,28.50471002431656,-81.37524653045708,69%,67%,65%,55%,59%,81,61,72,73,49,23.66,6.79,33%,55%,23%,0
Mecklenburg County,1042477,Charlotte,North Carolina,2644,$69893,46%,35,$414550,1874,$221,28,59%,$1198,53%,191,2604,10%,4%,71%,62%,32%,6%,31%,46%,13%,15%,Eastern Standard Time,91,53,38,43,3,6,43,4,35.225737142522576,-80.82635680474965,64%,68%,58%,52%,55%,38,47,66,69,31,10.96,10.71,30%,32%,33%,0
Will County,1020922,Joliet,Illinois,3520,$93461,33%,36,$294758,1863,$157,30,82%,$1236,43%,165,925,7%,4%,70%,49%,43%,4%,11%,63%,18%,10%,Central Standard Time,84,32,52,43,35,8,67,3,41.55597118325651,-88.08058286089626,52%,65%,39%,60%,56%,38,39,59,64,16,14.25,7.11,36%,36%,35%,24
Fulton County,993730,Atlanta,Georgia,2982,$79726,56%,35,$485954,2028,$243,34,55%,$1300,58%,243,2006,13%,5%,68%,67%,26%,7%,38%,43%,7%,14%,Eastern Standard Time,89,53,36,52,2,8,38,5,33.8521235098561,-84.38695988179353,60%,63%,53%,55%,57%,49,49,66,70,33,13.45,14.72,33%,37%,36%,0
Montgomery County,984285,Germantown,Maryland,5557,$118786,59%,39,$621399,2214,$277,43,67%,$1874,44%,N/A,N/A,6%,4%,71%,74%,19%,15%,18%,41%,19%,32%,Eastern Standard Time,87,42,45,47,22,7,39,4,39.08529729485749,-77.12296703407826,55%,61%,52%,53%,53%,26,43,63,67,25,13.89,9.73,36%,36%,36%,8
Montgomery County,980394,Lower Merion,Pennsylvania,4839,$88684,48%,38,$373921,1815,$205,48,71%,$1352,43%,N/A,N/A,6%,3%,69%,58%,37%,7%,7%,72%,5%,12%,Eastern Standard Time,87,40,47,50,25,7,54,4,40.17291423231812,-75.31906254406351,55%,62%,50%,54%,53%,28,41,61,67,23,15.38,11.11,36%,36%,36%,9
Milwaukee County,949278,Milwaukee,Wisconsin,5159,$54037,30%,35,$223670,1520,$144,63,52%,$916,61%,897,2565,18%,5%,64%,65%,28%,4%,26%,50%,15%,9%,Central Standard Time,82,30,51,37,50,8,65,3,43.037679043482626,-87.96773438235287,53%,66%,44%,63%,61%,34,37,58,63,14,12.93,5.57,34%,33%,33%,32
Collin County,948793,Plano,Texas,3081,$108389,54%,37,$523144,2414,$215,19,72%,$1503,39%,85,1108,5%,3%,70%,38%,55%,16%,9%,55%,14%,21%,Central Standard Time,95,56,39,41,3,N/A,59,5,33.1264203504108,-96.71001523677292,61%,71%,56%,54%,50%,45,51,67,75,34,8.74,8.32,24%,20%,24%,0
Duval County,948651,Jacksonville,Florida,1308,$57267,30%,36,$322180,1590,$200,36,59%,$1104,55%,633,3274,14%,5%,65%,47%,48%,4%,29%,51%,10%,11%,Eastern Standard Time,92,65,26,51,0,6,54,5,30.33540214495225,-81.6474553617095,64%,65%,59%,56%,59%,68,59,71,76,48,20.05,8.89,33%,51%,27%,0
Kane County,946646,Aurora,Illinois,3278,$81429,34%,35,$292587,1729,$168,36,72%,$1301,45%,213,1090,9%,5%,70%,51%,41%,6%,6%,46%,35%,21%,Central Standard Time,84,30,53,42,45,8,66,3,41.90255156259879,-88.31794161757935,52%,65%,39%,60%,56%,38,39,59,64,15,13.41,6.6,34%,34%,33%,26
Erie County,935428,Buffalo,New York,4451,$57792,35%,39,$252129,1583,$159,63,65%,$845,55%,115,1491,15%,4%,62%,50%,44%,4%,14%,71%,5%,7%,Eastern Standard Time,81,32,48,42,93,8,73,3,42.89461051762716,-78.80208677788607,47%,64%,30%,62%,56%,31,38,57,62,18,11.05,10.12,46%,37%,58%,53
Palm Beach County,927041,West Palm Beach,Florida,3546,$69600,36%,43,$503246,1632,$303,35,63%,$1570,53%,456,2642,12%,5%,61%,56%,40%,2%,21%,53%,21%,24%,Eastern Standard Time,90,75,15,64,0,8,74,6,26.66075206009496,-80.15126216601219,70%,73%,67%,61%,64%,76,65,73,76,57,24.17,9.76,36%,52%,25%,0
Bergen County,926923,Hackensack,New Jersey,7309,$110134,50%,42,$637754,1868,$341,59,67%,$1745,43%,81,723,6%,4%,66%,54%,41%,16%,6%,53%,19%,32%,Eastern Standard Time,87,40,47,50,31,7,45,3,40.91753304525909,-74.05671338170659,54%,62%,49%,53%,51%,25,41,61,69,25,14.84,11.51,34%,35%,36%,9
Hamilton County,907190,Cincinnati,Ohio,3008,$63038,38%,35,$253360,1680,$148,55,63%,$902,53%,52,923,16%,5%,67%,52%,42%,2%,24%,63%,2%,5%,Eastern Standard Time,86,39,46,46,23,8,44,3,39.174521573476575,-84.5325893610881,53%,66%,41%,59%,56%,38,41,61,65,23,12.46,9.96,35%,34%,36%,19
Wake County,900269,Raleigh,North Carolina,2845,$84116,55%,35,$462833,2056,$224,23,62%,$1234,48%,177,1494,8%,4%,70%,57%,37%,8%,21%,57%,9%,14%,Eastern Standard Time,90,51,38,50,4,6,54,4,35.800664749631714,-78.69335590865553,59%,61%,55%,53%,56%,42,47,66,69,31,14.66,10.32,23%,26%,24%,2
Middlesex County,883682,Edison,New Jersey,4368,$87223,45%,38,$433241,1541,$284,47,62%,$1506,45%,86,1272,10%,4%,65%,58%,37%,26%,10%,43%,19%,30%,Eastern Standard Time,88,41,46,51,29,7,54,3,40.47390939523606,-74.39591535459454,55%,62%,50%,53%,51%,25,41,61,66,23,15.25,11.65,34%,37%,34%,11
Lake County,878335,North township (Lake Cnty),Indiana,2027,$55344,22%,39,$225376,1706,$130,52,66%,$960,54%,N/A,N/A,15%,6%,61%,57%,37%,1%,29%,53%,19%,6%,Central Standard Time,83,32,50,43,35,8,65,3,41.53435985578568,-87.403967708136,52%,65%,39%,60%,56%,38,39,59,63,16,14.06,7.45,35%,35%,35%,24
Oklahoma County,876801,Oklahoma City,Oklahoma,1281,$52565,32%,36,$246051,1678,$145,40,55%,$899,50%,597,3659,12%,3%,63%,41%,51%,3%,13%,67%,16%,10%,Central Standard Time,94,51,42,38,7,N/A,51,5,35.51182935459404,-97.5240295757749,66%,76%,60%,55%,53%,49,46,64,73,28,12.82,4.33,20%,22%,14%,3
San Francisco County,874784,San Francisco,California,18648,$119136,58%,38,$1423000,1413,$1007,76,43%,$2010,58%,669,5505,10%,4%,71%,84%,9%,34%,5%,39%,15%,34%,Pacific Standard Time,70,58,12,20,0,7,37,5,37.7782253,-122.4425085,67%,69%,60%,69%,69%,2,47,51,56,47,0.21,11.01,18%,3%,33%,0
Macomb County,869556,Warren,Michigan,13299,$61324,24%,40,$206282,1335,$153,42,73%,$969,50%,313,1460,12%,5%,62%,42%,53%,4%,12%,73%,2%,13%,Eastern Standard Time,83,32,50,35,46,8,64,3,42.59452862401376,-82.95457683528572,52%,67%,39%,59%,54%,32,39,59,63,18,11.14,6.26,34%,32%,34%,32
Fresno County,865169,Fresno,California,4349,$56681,21%,31,$373273,1621,$230,39,52%,$1039,53%,332,1636,21%,9%,61%,49%,43%,10%,4%,27%,54%,20%,Pacific Standard Time,99,56,42,10,0,6,47,5,36.74276869183084,-119.77223242351884,76%,95%,49%,40%,22%,5,46,52,69,39,0.15,5.24,12%,0%,23%,0
Honolulu County,860178,Honolulu,Hawaii,5882,$82908,35%,38,$849725,1279,$661,43,54%,$1998,49%,270,3001,7%,3%,66%,61%,31%,44%,2%,18%,9%,15%,Hawaii Standard Time,85,78,7,43,N/A,N/A,67,9,21.432197243101843,-157.95987937036588,65%,70%,59%,56%,53%,N/A,N/A,N/A,72,65,7.37,13.42,51%,53%,46%,N/A
Jackson County,857566,Kansas City,Missouri,1658,$61542,33%,36,$253914,1786,$141,48,63%,$976,53%,N/A,N/A,12%,4%,68%,55%,38%,2%,20%,63%,9%,6%,Central Standard Time,89,40,48,39,18,8,53,4,39.07026686624434,-94.46880164898353,62%,70%,55%,60%,59%,51,42,64,70,22,14.2,4.01,25%,29%,17%,10
Pinellas County,856496,St. Petersburg,Florida,4033,$57661,32%,47,$413573,1407,$294,45,66%,$1186,54%,418,2737,11%,5%,59%,47%,48%,3%,11%,72%,10%,12%,Eastern Standard Time,90,70,20,52,0,6,67,6,27.893562110573082,-82.71776700844545,69%,67%,65%,58%,62%,82,62,72,77,53,26.76,7.05,30%,52%,23%,0
Prince George's County,855243,Bowie,Maryland,4648,$90469,34%,38,$393063,1695,$235,44,63%,$1678,58%,517,2916,8%,6%,71%,88%,8%,4%,61%,12%,18%,22%,Eastern Standard Time,89,44,44,47,14,7,43,4,38.90512749455185,-76.88876202365489,55%,61%,52%,53%,53%,26,43,63,70,27,14.36,9.43,34%,35%,34%,6
St. Louis County,844291,Florissant,Missouri,3113,$77916,44%,39,$289821,1758,$154,52,69%,$1093,49%,1134,3234,8%,4%,65%,55%,39%,4%,23%,63%,3%,7%,Central Standard Time,89,41,48,44,17,6,41,4,38.64463843155938,-90.39540102387578,57%,67%,49%,58%,55%,46,44,65,70,23,12.86,7.6,31%,31%,28%,11
New Haven County,843349,New Haven,Connecticut,2902,$69294,34%,37,$278906,1709,$165,57,60%,$1246,54%,276,2088,14%,5%,65%,54%,42%,4%,14%,49%,18%,14%,Eastern Standard Time,84,38,46,48,39,7,60,3,41.40257685887112,-72.95076335265115,58%,63%,57%,57%,57%,20,40,60,65,21,12.92,11.75,33%,35%,32%,12
Pierce County,840716,Tacoma,Washington,2985,$76952,27%,36,$534505,1798,$296,38,64%,$1388,48%,601,4108,9%,5%,65%,47%,40%,6%,7%,64%,11%,10%,Pacific Standard Time,76,45,31,45,7,6,48,2,47.18569598337203,-122.4152723636365,45%,60%,27%,63%,50%,5,42,51,55,35,3.34,17.1,45%,18%,64%,3
Essex County,837459,Newark,New Jersey,9716,$74594,36%,35,$513852,1946,$257,63,46%,$1282,55%,230,1208,21%,7%,62%,77%,20%,6%,38%,18%,22%,29%,Eastern Standard Time,87,39,47,52,31,7,36,3,40.7661947485742,-74.21346724435202,55%,62%,50%,53%,51%,25,41,61,68,24,15.42,12.01,34%,35%,34%,9
Shelby County,834963,Memphis,Tennessee,2036,$55014,31%,35,$227670,1621,$134,45,55%,$1009,58%,1581,5261,20%,7%,63%,61%,34%,2%,53%,35%,6%,6%,Central Standard Time,91,50,41,55,3,8,45,4,35.11995769724563,-89.92243303076447,63%,74%,52%,56%,56%,53,50,68,73,32,11.99,14.67,31%,28%,35%,1
